,text,object_location_type,timeRange,spatial_relation,movie_name,location_name,movie_type,object_type
513,Find the movie schedule .,,,,,,,movie schedule
514,CAn I get the the showtimes for The Jade Faced Assassin  cinema ?,cinema,,,The Jade Faced Assassin,,,
515,What time is The Christmas Toy playing at Loews Cineplex,,,,The Christmas Toy,Loews Cineplex,,
516,I want to see the movie schedules for animated movies  around here .,,,around here,,,animated movies,movie schedules
517,what kind of films are at the closest  movie house,movie house,,closest,,,films,
518,What are the movie times at Goodrich Quality Theaters ?,,,,,Goodrich Quality Theaters,,movie times
519,where is The Cycle playing,,,,The Cycle,,,
520,What movie times are there for 5 p.m. ?,,5 p.m.,,,,,movie times
521,Where is the nearest  cinema playing Rainbow Eyes that starts in one minute ?,cinema,in one minute,nearest,Rainbow Eyes,,,
522,Is Thenaruvi playing at the Douglas Theatre Company  in one hour ?,,in one hour,,Thenaruvi,Douglas Theatre Company,,
523,Find movie schedule for animated movies  in the area,,,in the area,,,animated movies,movie schedule
524,Show me the movie schedules for any animated movies playing close by ?,,,close by,,,animated movies,movie schedules
525,show movies at the nearest  movie house,movie house,,nearest,,,movies,
526,I'm wondering if I can watch Heyy Babyy at a cinema .,cinema,,,Heyy Babyy,,,
527,List movies by movie times  in the neighbourhood,,,in the neighbourhood,,,movies,movie times
528,movie schedule at Speakeasy Theaters,,,,,Speakeasy Theaters,,movie schedule
529,What movies are playing nearby ?,,,nearby,,,movies,
530,find the closest  cinema with animated movies,cinema,,closest,,,animated movies,
531,What animated movies are playing at the nearest  movie theatre ?,movie theatre,,nearest,,,animated movies,
532,Provide me the movie schedules,,,,,,,movie schedules
533,I'd like to watch movies at Amco Entertainment,,,,,Amco Entertainment,movies,
534,"find National Amusements with Honey, I Shrunk the Kids",,,,"Honey, I Shrunk the Kids",National Amusements,,
535,I need movie times  in the area for any type of movies,,,in the area,,,movies,movie times
536,Where is the nearest  movie theatre I can go watch films today?,movie theatre,,nearest,,,films,
537,What animated movies are playing AMC Theaters,,,,,AMC Theaters,animated movies,
538,What time is Three Cuckoo Clocks playing?,,,,Three Cuckoo Clocks,,,
539,Show movie times at Kerasotes Theatres,,,,,Kerasotes Theatres,,movie times
540,What time is Balkan Rhapsodies: 78 Measures of War playing at Malco Theatres ?,,,,Balkan Rhapsodies: 78 Measures of War,Malco Theatres,,
541,When is Robotix playing?,,,,Robotix,,,
542,show me the schedule of movie The Duchess of Langeais in cinema,cinema,,,The Duchess of Langeais,,,schedule
543,Find the movie schedules for Speakeasy Theaters .,,,,,Speakeasy Theaters,,movie schedules
544,Show me movie times at the Pacific Theatres for the movie The Hot Rock,,,,The Hot Rock,Pacific Theatres,,times
545,whats the nearest  movie house showing animated movies,movie house,,nearest,,,animated movies,
546,find movies  nearest to a movie house,movie house,,nearest,,,movies,
547,Is Warhead playing at AMC Theaters,,,,Warhead,AMC Theaters,,
548,Is Judgment Day: The John List Story playing at Megaplex Theatres ?,,,,Judgment Day: The John List Story,Megaplex Theatres,,
549,What time is Too Young to Marry showing,,,,Too Young to Marry,,,
550,When is The Jailbird showing at United Paramount Theatres,,,,The Jailbird,United Paramount Theatres,,
551,Are there any animated movies playing at the Mann Theatres ?,,,,,Mann Theatres,animated movies,
552,What time is the nearest  cinema playing The Hopes of Blind Alley,cinema,,nearest,The Hopes of Blind Alley,,,
553,Can I get the movie times for films  in the neighborhood ?,,,in the neighborhood,,,films,movie times
554,What movie theatre has A Matter of Wife... And Death,movie theatre,,,A Matter of Wife... And Death,,,
555,what time is The Graduate showing at Caribbean Cinemas,,,,The Graduate,Caribbean Cinemas,,
556,What is the movie schedule at Caribbean Cinemas ,,,,,Caribbean Cinemas,,movie schedule
557,Find the schedule for films at night at Great Escape Theatres .,,night,,,Great Escape Theatres,films,schedule
558,Showtimes for the Alamo Drafthouse Cinema for todays movies .,,,,,Alamo Drafthouse Cinema,movies,
559,what are the movie schedules for Great Escape Theatres ,,,,,Great Escape Theatres,,movie schedules
560,find meal time movie times  close by for movies,,meal,close by,,,movies,movie times
561,I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres,,00:47:43,,The Freckled Fish,Magic Johnson Theatres,,
562,i need movie times for movies  in the area,,,in the area,,,movies,movie times
563,Give me the showtimes for animated movies at the nearest  cinema .,cinema,,nearest,,,animated movies,
564,Give me movie times,,,,,,,movie times
565,find Shanghaï Express,,,,Shanghaï Express,,,
566,Find time for the movie schedule ,,,,,,,movie schedule
567,"Where is the closest  movie theatre playing Yo, robot",movie theatre,,closest,"Yo, robot",,,
568,When is Stripped to Kill II: Live Girls playing at the nearest  movie house ?,movie house,,nearest,Stripped to Kill II: Live Girls,,,
569,what movies are showing nearby,,,nearby,,,movies,
570,Which films are playing at Malco Theatres ?,,,,,Malco Theatres,films,
571,Find the movie schedules,,,,,,,movie schedules
572,find The Watcher at United Paramount Theatres,,,,The Watcher,United Paramount Theatres,,
573,When is Percy Jackson playing at the movie theatre ?,movie theatre,,,Percy Jackson,,,
574,what time is Utamaro and His Five Women showing at Alamo Drafthouse Cinema,,,,Utamaro and His Five Women,Alamo Drafthouse Cinema,,
575,Find the schedule for the closest  films at a cinema at meal time.,cinema,meal,closest,,,films,schedule
576,What movie times are at Bow Tie Cinemas ?,,,,,Bow Tie Cinemas,,movie times
577,I'd like to see a movies at the nearest  movie house,movie house,,nearest,,,movies,
578,Which films are playing at the closest  cinema ?,cinema,,closest,,,films,
579,What is the movie schedule  in five minutes for movies playing in the neighborhood ,,in five minutes,in the neighborhood,,,movies,movie schedule
580,I want the nearest  movie house with The Debtors,movie house,,nearest,The Debtors,,,
581,List the movie schedule for Regal Entertainment Group theater.,,,,,Regal Entertainment Group,,movie schedule
582,Find the schedule for animated movies  in the neighborhood .,,,in the neighborhood,,,animated movies,schedule
583,Where is the closest  cinema playing A Drink in the Passage ,cinema,,closest,A Drink in the Passage,,,
584,Where is The Wilderness Trail playing,,,,The Wilderness Trail,,,
585,find a movie theatre with Life and Death,movie theatre,,,Life and Death,,,
586,Can you provide me with movie schedules for Century Theatres ?,,,,,Century Theatres,,movie schedules
587,What time does The Maze start at Cineplex Odeon Corporation,,,,The Maze,Cineplex Odeon Corporation,,
588,Please find the movie schedule for animated movies playing in the neighbourhood ,,,in the neighbourhood,,,animated movies,movie schedule
589,when is Our Story showing next at North American Cinemas,,,,Our Story,North American Cinemas,,
590,What time is The Graduates of Malibu High playing at Cobb Theatres,,,,The Graduates of Malibu High,Cobb Theatres,,
591,Fine a movie schedule .,,,,,,,movie schedule
592,Can i get todays showtimes for Le Flic de Beverly Hills 2 ?,,,,Le Flic de Beverly Hills 2,,,
593,Can I get The Marine 2 showtimes.,,,,The Marine 2,,,
594,Where is Mother and Child plkaying,,,,Mother and Child,,,
595,Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas,,,,You Will Meet a Tall Dark Stranger,Bow Tie Cinemas,,
596,What time is Sundown: The Vampire in Retreat showing,,,,Sundown: The Vampire in Retreat,,,
597,What animated movies are playing at KB Theatres ,,,,,KB Theatres,animated movies,
598,What movie schedule are in the area for animated movies,,,in the area,,,animated movies,movie schedule
599,show movie schedules for Fox Theatres,,,,,Fox Theatres,,movie schedules
600,what animated movies are showing in the area ,,,in the area,,,animated movies,
601,i want to see some movies in a B&B Theatres,,,,,B&B Theatres,movies,
602,What are the movie times at the Malco Theatres ?,,,,,Malco Theatres,,movie times
603,What films are showing in the neighbourhood ?,,,in the neighbourhood,,,films,
604,find movie schedules for Loews Cineplex,,,,,Loews Cineplex,,movie schedules
605,Show me the nearest  movie house showing The Luckiest Girl in the World,movie house,,nearest,The Luckiest Girl in the World,,,
606,What time is The Cobbler playing  at the closest  movie theatre ?,movie theatre,,closest,The Cobbler,,,
607,can i have the movie schedule for IMAX Corporation,,,,,IMAX Corporation,,movie schedule
608,what are the movie times for United Paramount Theatres,,,,,United Paramount Theatres,,movie times
609,Find the schedule for Better This World at a movie house .,movie house,,,Better This World,,,schedule
610,give me the movie schedule at Santikos Theatres,,,,,Santikos Theatres,,movie schedule
611,Find movie times .,,,,,,,movie times
612,Can I get the movie schedule for 8 a.m. ?,,8 a.m.,,,,,movie schedule
613,What films are showing in the area ?,,,in the area,,,films,
614,What time is The Daring Dobermans playing,,,,The Daring Dobermans,,,
615,I'm looking for a movie schedule at the Cooper Foundation .,,,,,Cooper Foundation,,movie schedule
616,What is the closest  movie house playing films,movie house,,closest,,,films,
617,what is the nearest  movie house showing animated movies,movie house,,nearest,,,animated movies,
618,What is the movie schedule for films that are playing nearby  in 15 minutes,,in 15 minutes,nearby,,,films,movie schedule
619,What movies are currently at Star Theatres ?,,,,,Star Theatres,movies,
620,when can iw atch Great Balls of Fire! - Vampate di fuoco,,,,Great Balls of Fire! - Vampate di fuoco,,,
621,Find the schedule for Metallica Through the Never .,,,,Metallica Through the Never,,,schedule
622,what animated movies are at the nearest  cinema,cinema,,nearest,,,animated movies,
623,movie times at Warren Theatres,,,,,Warren Theatres,,movie times
624,I need a schedule for the cinema that is showing The Shiralee,cinema,,,The Shiralee,,,schedule
625,When can I see Journey to the End of the Night ?,,,,Journey to the End of the Night,,,
626,show movie schedules,,,,,,,movie schedules
627,What time is The Taking of Pelham 1 2 3 playing at the movie theatre,movie theatre,,,The Taking of Pelham 1 2 3,,,
628,What time is The Burning Season playing,,,,The Burning Season,,,
629,Is Love Coach playing at Speakeasy Theaters ?,,,,Love Coach,Speakeasy Theaters,,
630,Find the schedule for Kingsman: The Secret Service at a movie theatre .,movie theatre,,,Kingsman: The Secret Service,,,schedule
631,What time is Always Brando showing,,,,Always Brando,,,
632,Show the movie schedule,,,,,,,movie schedule
633,What's on the movie schedules at Amco Entertainment ?,,,,,Amco Entertainment,,movie schedules
634,I'm wondering when I can see Beating Heart at the nearest  cinema .,cinema,,nearest,Beating Heart,,,
635,Check films screened at the closest  cinema,cinema,,closest,,,films,
636,I want to know the animated movies playing at Malco Theatres,,,,,Malco Theatres,animated movies,
637,what time is The Dungeonmaster playing at AMC Theaters,,,,The Dungeonmaster,AMC Theaters,,
638,Is Lord Jim at the movie house,movie house,,,Lord Jim,,,
639,I want a list of showings of Days of Fire at Harkins Theatres,,,,Days of Fire,Harkins Theatres,,
640,"I'm looking for movie times , search movies  close by that start at 11:12 .",,11:12,close by,,,movies,movie times
641,What time is the Wanda Group playing The Honor of an Outlaw,,,,The Honor of an Outlaw,Wanda Group,,
642,show movie times for animated movies  nearby,,,nearby,,,animated movies,movie times
643,fimd films  around here,,,around here,,,films,
644,What local movie house is playing Beat the Drum,movie house,,,Beat the Drum,,,
645,What film is playing at Landmark Theatres,,,,,Landmark Theatres,film,
646,Find the movie schedule for animated movies  in the neighborhood .,,,in the neighborhood,,,animated movies,movie schedule
647,What movie times are Harkins Theatres,,,,,Harkins Theatres,,movie times
648,FInd the movie schedule for nearby  movies .,,,nearby,,,movies,movie schedule
649,Find the schedule for Tube at the closest  movie theatre .,movie theatre,,closest,Tube,,,schedule
650,Show me the movie times for animated movies that are in theaters  close by,,,close by,,theaters,animated movies,movie times
651,find a brunch time cinema  nearest with The President Is Coming,cinema,brunch,nearest,The President Is Coming,,,
652,When is Purple Heart scheduled at the nearest  movie house ?,movie house,,nearest,Purple Heart,,,
653,What animated movies are playing now  in the neighborhood ,,now,in the neighborhood,,,animated movies,
654,When will the Santikos Theatres be showing animated movies,,,,,Santikos Theatres,animated movies,
655,What is the movie schedule right now for movies  around here,,now,around here,,,movies,movie schedule
656,Where will The Blonde from Peking be playing,,,,The Blonde from Peking,,,
657,When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres ?,,,,Salaam-e-Ishq: A Tribute To Love,B&B Theatres,,
658,find a movie house with Ulterior Motive that is closest,movie house,,closest,Ulterior Motive,,,
659,Which movie theatre is playing The Good Guys and the Bad Guys ?,movie theatre,,,The Good Guys and the Bad Guys,,,
660,What times will The Young Swordsman be showing at a local cinema ?,cinema,,,The Young Swordsman,,,times
661,Find the movie schedule .,,,,,,,movie schedule
662,what's the closest  movie house showing Night in May,movie house,,closest,Night in May,,,
663,Please find me the nearest  cinema playing Foreign Intrigue .,cinema,,nearest,Foreign Intrigue,,,
664,Where and when is This Is England playing,,,,This Is England,,,
665,what time is The Rocketeer showing,,,,The Rocketeer,,,
666,what's the closest  movie theatre that is playing films,movie theatre,,closest,,,films,
667,find movies that are nearby,,,nearby,,,movies,
668,What movie theatre is playing Shed No Tears,movie theatre,,,Shed No Tears,,,
669,Find the movie schedule for ArcLight Hollywood .,,,,,ArcLight Hollywood,,movie schedule
670,Can I get the newest listings for movies at Harkins Theatres,,,,,Harkins Theatres,movies,
671,Find the movie schedule .,,,,,,,movie schedule
672,What time is Pussyfoot playing at Pacific Theatres ?,,,,Pussyfoot,Pacific Theatres,,
673,Find the movie schedule for Cooper Foundation .,,,,,Cooper Foundation,,movie schedule
674,Tell me when Howling II: Your Sister Is a Werewolf is playing.,,,,Howling II: Your Sister Is a Werewolf,,,
675,What time is Southern Theatres showing Ukraine Is Not a Brothel ?,,,,Ukraine Is Not a Brothel,Southern Theatres,,
676,show the schedule of movie times,,,,,,,movie times
677,find Worldly Goods starting now at a movie house,movie house,now,,Worldly Goods,,,
678,What is Dear Old Girl  Cooper Foundation,,,,Dear Old Girl,Cooper Foundation,,
679,Which animated movies are playing today at KB Theatres ?,,,,,KB Theatres,animated movies,
680,What time are films showing in the neighborhood,,,in the neighborhood,,,films,
681,What are some movies playing in the neighbourhood ?,,,in the neighbourhood,,,movies,
682,List movie times at General Cinema Corporation,,,,,General Cinema Corporation,,movie times
683,Can you bring up the movie schedule for ArcLight Hollywood ?,,,,,ArcLight Hollywood,,movie schedule
684,Is Live from Sturgis 2006 playing at four o'clock at the nearest  cinema ?,cinema,four o'clock,nearest,Live from Sturgis 2006,,,
685,what movie theatre  closest to me is playing animated movies and when,movie theatre,,closest,,,animated movies,
686,what animated movies are at Cobb Theatres,,,,,Cobb Theatres,animated movies,
687,find movie times,,,,,,,movie times
688,Find the schedule for Idols of Clay at a movie house .,movie house,,,Idols of Clay,,,schedule
689,What are the movie schedules,,,,,,,movie schedules
690,show movie schedules,,,,,,,movie schedules
691,Is Rio Belongs to Us playing at the movie house  closest to me,movie house,,closest,Rio Belongs to Us,,,
692,give me the movie times for Fox Theatres,,,,,Fox Theatres,,movie times
693,When can I watch Prince Daewon at movie house ?,movie house,,,Prince Daewon,,,
694,find the nearest  animated movies at a movie theatre,movie theatre,,nearest,,,animated movies,
695,When is Sea of Fear being shown at the closest  movie theatre ?,movie theatre,,closest,Sea of Fear,,,
696,What films are there playing at Cobb Theatres ?,,,,,Cobb Theatres,films,
697,find Kebab Connection,,,,Kebab Connection,,,
698,I need a list of Mann Theatres  films that are playing,,,,,Mann Theatres,films,
699,find the nearest  movie house showing Dangers of the Canadian Mounted,movie house,,nearest,Dangers of the Canadian Mounted,,,
700,Does AMC Theatres have movie schedules out?,,,,,AMC Theatres,,movie schedules
701,What are the movie times for animated movies  nearby ?,,,nearby,,,animated movies,movie times
702,What film is playing nearby,,,nearby,,,film,
703,what movie house is showing Sherlock Holmes and the Secret Weapon,movie house,,,Sherlock Holmes and the Secret Weapon,,,
704,What is the movie schedule looking like,,,,,,,movie schedule
705,What is the movie schedules for movies  in the neighbourhood,,,in the neighbourhood,,,movies,movie schedules
706,Is And the Ship Sails On playing at Douglas Theatre Company  1 minute from now ?,,1 minute from now,,And the Ship Sails On,Douglas Theatre Company,,
707,I'd like to see movie times please.,,,,,,,movie times
708,What is the closest  movie theatre showing In Pursuit of Honor ?,movie theatre,,closest,In Pursuit of Honor,,,
709,What are the movie times of films  in the neighbourhood,,,in the neighbourhood,,,films,movie times
710,Is The Belles of St. Clements playing at Star Theatres  in 8 minutes ?,,in 8 minutes,,The Belles of St. Clements,Star Theatres,,
711,Please provide me with movie schedules .,,,,,,,movie schedules
712,find a movie house  closest with animated movies,movie house,,closest,,,animated movies,
713,I'd like to watch films at the closest  movie theatre ,movie theatre,,closest,,,films,
714,Check the movie schedule for Wanda Group,,,,,Wanda Group,,movie schedule
715,find Italy Has Awakened at a Goodrich Quality Theaters,,,,Italy Has Awakened,Goodrich Quality Theaters,,
716,What is the movie schedules at Consolidated Theatres,,,,,Consolidated Theatres,,movie schedules
717,Whaere is Bloody Bloody Bible Camp playing in the cinema,cinema,,,Bloody Bloody Bible Camp,,,
718,Show me a movie schedule .,,,,,,,movie schedule
719,find a United Paramount Theatres and movie times at 4 A.M.,,4 A.M.,,,United Paramount Theatres,,movie times
720,in the neighbourhood find movies,,,in the neighbourhood,,,movies,
721,Show movie schedules for Douglas Theatre Company,,,,,Douglas Theatre Company,,movie schedules
722,What are the current showtimes for Love Fiction ?,,,,Love Fiction,,,
723,She me what movies are playing at 1 o'clock at the nearest  movie theatre,movie theatre,1 o'clock,nearest,,,movies,
724,Which films are playing in the neighbourhood ?,,,in the neighbourhood,,,films,
725,I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock .,,thirteen o'clock,,Savage Grace,Showcase Cinemas,,
726,Which films are playing at the closest  movie house ?,movie house,,closest,,,films,
727,Find the movie schedule for close by  films .,,,close by,,,films,movie schedule
728,Find movie times for B&B Theatres .,,,,,B&B Theatres,,movie times
729,I want to see the movie schedule for KB Theatres .,,,,,KB Theatres,,movie schedule
730,Can you give me a list of films at Cinemark Theatres ?,,,,,Cinemark Theatres,films,
731,IS Anti-Semitism in the 21st Century: The Resurgence playing now,,now,,Anti-Semitism in the 21st Century: The Resurgence,,,
732,She me the movie schedule for animated movies at the place nearby,,,nearby,,,animated movies,movie schedule
733,Where is the nearest  movie house that is playing Sirivantha,movie house,,nearest,Sirivantha,,,
734,what time can i see The Conflicts of Life,,,,The Conflicts of Life,,,
735,find films  closest to a cinema,cinema,,closest,,,films,
736,I'm looking for local movie schedules .,,,,,,,movie schedules
737,Show movie schedules with movies  in the neighborhood,,,in the neighborhood,,,movies,movie schedules
738,What are the movie times for Megaplex Theatres,,,,,Megaplex Theatres,,movie times
739,Find movie times for close by  movies .,,,close by,,,movies,movie times
740,Find me the movie times for the Alamo Drafthouse Cinema,,,,,Alamo Drafthouse Cinema,,movie times
741,Give me the movie schedule for the Great Escape Theatres,,,,,Great Escape Theatres,,movie schedule
742,When is Game in the Sand playing at the movie house ?,movie house,,,Game in the Sand,,,
743,What time are the movie schedules,,,,,,,movie schedules
744,I'd like to see movie times at Santikos Theatres,,,,,Santikos Theatres,,movie times
745,show movie times,,,,,,,movie times
746,Show movie schedule and movies  in the area,,,in the area,,,movies,movie schedule
747,Are any films play at the Santikos Theatres,,,,,Santikos Theatres,films,
748,find movie times,,,,,,,movie times
749,Find movie schedules for Bow Tie Cinemas .,,,,,Bow Tie Cinemas,,movie schedules
750,Find the movie schedules for animated movies  nearby at 09:44 am .,,09:44 am,nearby,,,animated movies,movie schedules
751,what time is The World According to John Coltrane playing,,,,The World According to John Coltrane,,,
752,What movie theatre is the closest that is playing Cheat You Fair: The Story of Maxwell Street right now,movie theatre,now,closest,Cheat You Fair: The Story of Maxwell Street,,,
753,show movie schedules for animated movies playing close by  now,,now,close by,,,animated movies,movie schedules
754,Find films available at Cooper Foundation,,,,,Cooper Foundation,films,
755,in 1 hour and 1 minute find a cinema  nearest for films,cinema,in 1 hour and 1 minute,nearest,,,films,
756,I want a list of films that are going to be shown in the neighborhood .,,,in the neighborhood,,,films,
757,What are the local movie times,,,,,,,movie times
758,Which movies are playing at B&B Theatres at 2 pm ?,,2 pm,,,B&B Theatres,movies,
759,find Manthra Mothiram at Century Theatres,,,,Manthra Mothiram,Century Theatres,,
760,what movie theatre is showing Titanic: The Legend Goes On,movie theatre,,,Titanic: The Legend Goes On,,,
761,I need current movie schedules .,,,,,,,movie schedules
762,what animated movies are in the area,,,in the area,,,animated movies,
763,Where and when can I see The Image Makers,,,,The Image Makers,,,
764,find a Cineplex Odeon Corporation showing movies,,,,,Cineplex Odeon Corporation,movies,
765,what films are showing around here,,,around here,,,films,
766,When is Twentynine Palms playing at Plitt Theatres ?,,,,Twentynine Palms,Plitt Theatres,,
767,is The Sleeping Beauty playing at 8 A.M. at Cobb Theatres,,8 A.M.,,The Sleeping Beauty,Cobb Theatres,,
768,When is Dead Birds playing?,,,,Dead Birds,,,
769,What's the movie schedule for films  in the neighbourhood,,,in the neighbourhood,,,films,movie schedule
770,Give me the schedule for Getting There: Sweet 16 and Licensed to Drive,,,,Getting There: Sweet 16 and Licensed to Drive,,,schedule
771,what time is Twin Peaks: Fire Walk with Me showing,,,,Twin Peaks: Fire Walk with Me,,,
772,What are the movie schedules for movies  around here ?,,,around here,,,movies,movie schedules
773,What time is Phil Ochs: There but for Fortune playing at the movie house,movie house,,,Phil Ochs: There but for Fortune,,,
774,I'd like to watch Wish You Were Dead,,,,Wish You Were Dead,,,
775,Can I watch The Sound of War  in thirteen minutes at the nearest  cinema,cinema,in thirteen minutes,nearest,The Sound of War,,,
776,What films are playing at Goodrich Quality Theaters,,,,,Goodrich Quality Theaters,films,
777,What are the movie times for movies  in the area ?,,,in the area,,,movies,movie times
778,what is the movie schedule of animated movies  in the area ,,,in the area,,,animated movies,movie schedule
779,What films and movie schedules are in the neighborhood ,,,in the neighborhood,,,films,movie schedules
780,What is the closest  movie theatre that is playing Moment to Moment ?,movie theatre,,closest,Moment to Moment,,,
781,Can I see the movie schedules  nineteen minutes from now ?,,nineteen minutes from now,,,,,movie schedules
782,showings for animated movies  in the area ,,,in the area,,,animated movies,
783,What are the movies scheduled to play at General Cinema Corporation,,,,,General Cinema Corporation,movies,
784,Is The Man Who Won playing at 6 P.M. ?,,6 P.M.,,The Man Who Won,,,
785,in the neighbourhood find movies starting in thirteen hours,,in thirteen hours,in the neighbourhood,,,movies,
786,What movie times are there at ArcLight Hollywood,,,,,ArcLight Hollywood,,movie times
787,List movie schedules at Showcase Cinemas,,,,,Showcase Cinemas,,movie schedules
788,When is Cooper Foundation on the movie schedule ?,,,,,Cooper Foundation,,movie schedule
789,When is Lake City playing at Dipson Theatres ?,,,,Lake City,Dipson Theatres,,
790,What is the movie schedules for the movies  nearby playing 23 seconds from now,,23 seconds from now,nearby,,,movies,movie schedules
791,What is the nearest  cinema showing Love in Mandya ?,cinema,,nearest,Love in Mandya,,,
792,Find the movie times at Consolidated Theatres .,,,,,Consolidated Theatres,,movie times
793,What time is Truth About Kerry playing at movie house,movie house,,,Truth About Kerry,,,
794,Can you let me know when Talk of the Devil is playing at the movie theatre ?,movie theatre,,,Talk of the Devil,,,
795,When is The Pirate Fairy playing at AMC Theaters ?,,,,The Pirate Fairy,AMC Theaters,,
796,What are the movie times at General Cinema Corporation,,,,,General Cinema Corporation,,movie times
797,Find the movie schedule for animated movies  in the neighbourhood .,,,in the neighbourhood,,,animated movies,movie schedule
798,When is Sins of the Fathers playing?,,,,Sins of the Fathers,,,
799,find a movie theatre with Beware of Bachelors,movie theatre,,,Beware of Bachelors,,,
800,Check the movie schedules .,,,,,,,movie schedules
801,Can you let me know the films that are on the movie schedules  in the area at noon ?,,noon,in the area,,,films,movie schedules
802,find a movie schedule,,,,,,,movie schedule
803,What time is A Man for Burning playing,,,,A Man for Burning,,,
804,Please show me the closest  movie house playing Wild on the Beach  in 1 minute .,movie house,in 1 minute,closest,Wild on the Beach,,,
805,what animated movies are playing at the closest  movie house,movie house,,closest,,,animated movies,
806,What time does Lilacs in the Spring play at the closest  movie house,movie house,,closest,Lilacs in the Spring,,,
807,whats the movie schedules for animated movies  close by,,,close by,,,animated movies,movie schedules
808,show movies in United Paramount Theatres,,,,,United Paramount Theatres,movies,
809,Which films are playing close by ?,,,close by,,,films,
810,find animated movies  close by with a movie schedule,,,close by,,,animated movies,movie schedule
811,where is Ennarukil Nee Irunthal playing,,,,Ennarukil Nee Irunthal,,,
812,What is the movie schedule for today?,,,,,,,movie schedule
813,what are the movies  movie times  nearby,,,nearby,,,movies,movie times
814,Where can I find movie schedules,,,,,,,movie schedules
815,Is The Passion of Anna playing four seconds from now at the cinema,cinema,four seconds from now,,The Passion of Anna,,,
816,What time is 26 Years Diary showing in the movie house ?,movie house,,,26 Years Diary,,,
817,Find a movie schedule .,,,,,,,movie schedule
818,find a cinema  nearest with Sulle Sathya,cinema,,nearest,Sulle Sathya,,,
819,find Invisible Child at Southern Theatres,,,,Invisible Child,Southern Theatres,,
820,Give me the movie schedules for Neighborhood Cinema Group,,,,,Neighborhood Cinema Group,,movie schedules
821,give me a list showtimes for The Night of Taneyamagahara ,,,,The Night of Taneyamagahara,,,
822,I need a movie schedule for nearby  animated movies,,,nearby,,,animated movies,movie schedule
823,show movie schedule for animated movies  in the neighborhood,,,in the neighborhood,,,animated movies,movie schedule
824,Where Can I watch Chaos and Desire ?,,,,Chaos and Desire,,,
825,what is the schedule for The Fox and the Child in cinema,cinema,,,The Fox and the Child,,,schedule
826,When will the Blonde Ambition be playing,,,,Blonde Ambition,,,
827,find a cinema  closest with animated movies,cinema,,closest,,,animated movies,
828,List movie schedules for movies playing close by,,,close by,,,movies,movie schedules
829,show movie times,,,,,,,movie times
830,Can I get the movie schedules for Megaplex Theatres ?,,,,,Megaplex Theatres,,movie schedules
831,What movie theatre is playing The Missing Picture,movie theatre,,,The Missing Picture,,,
832,Is Liberator playing at the IMAX Corporation at 11 ?,,11,,Liberator,IMAX Corporation,,
833,Which is the nearest  cinema showing A Cooler Climate that starts now ?,cinema,now,nearest,A Cooler Climate,,,
834,find Dickinson Theatres showing From Bondage to Freedom,,,,From Bondage to Freedom,Dickinson Theatres,,
835,find Plitt Theatres  now showing Poverty and Nobility,,now,,Poverty and Nobility,Plitt Theatres,,
836,Give me the current showtimes for Tarass Boulba .,,,,Tarass Boulba,,,
837,Please find movie schedules,,,,,,,movie schedules
838,What time are movies showing at Megaplex Theatres,,,,,Megaplex Theatres,movies,
839,Where can I find Paranormal Activity 3 playing near me 1 hour from now,,1 hour from now,,Paranormal Activity 3,,,
840,What films are there being played at Megaplex Theatres ?,,,,,Megaplex Theatres,films,
841,is Young Policemen In Love at the local movie theatre,movie theatre,,,Young Policemen In Love,,,
842,I want to see movie schedules at Plitt Theatres .,,,,,Plitt Theatres,,movie schedules
843,Is The Right to Strike playing at Star Theatres,,,,The Right to Strike,Star Theatres,,
844,find Partners in Action at Dickinson Theatres,,,,Partners in Action,Dickinson Theatres,,
845,I'd like to see local movie times .,,,,,,,movie times
846,What time is A Battle of Wits starting?,,,,A Battle of Wits,,,
847,show me the schedule of Letters from a Porcupine in Alamo Drafthouse Cinema,,,,Letters from a Porcupine,Alamo Drafthouse Cinema,,schedule
848,Please give me the movie schedules .,,,,,,,movie schedules
849,what's the closest  movie house showing The Legend of Ben Hall,movie house,,closest,The Legend of Ben Hall,,,
850,Find me the nearest  cinema that have movies starting right now .,cinema,now,nearest,,,movies,
851,I'd like to watch movies at the nearest  movie house,movie house,,nearest,,,movies,
852,Find the movie schedule for animated movies  in the area .,,,in the area,,,animated movies,movie schedule
853,find Alamo Drafthouse Cinema with animated movies,,,,,Alamo Drafthouse Cinema,animated movies,
854,Find the movie schedule for Dipson Theatres .,,,,,Dipson Theatres,,movie schedule
855,Can I get the newest movie schedule  in the area for animated movies ?,,,in the area,,,animated movies,movie schedule
856,Find the schedule for animated movies  in the area .,,,in the area,,,animated movies,schedule
857,What is the movie schedule at Loews Cineplex Entertainment,,,,,Loews Cineplex Entertainment,,movie schedule
858,find a cinema  nearest for films,cinema,,nearest,,,films,
859,What movies are currently playing at the Caribbean Cinemas,,,,,Caribbean Cinemas,movies,
860,I'd like to watch films anywhere nearby,,,nearby,,,films,
861,Where is the nearest  cinema that has Southside 1-1000 ?,cinema,,nearest,Southside 1-1000,,,
