,text,served_dish,facility,timeRange,spatial_relation,restaurant_type,party_size_number,sort,cuisine,city,country,party_size_description,poi,restaurant_name,state
432,I would like to book an AMerican Samoa  restaurant for 8,,,,,restaurant,8,,,,,,,,AMerican Samoa
433,Make me a reservation for a party of six at The K Club on feb. 7th,,,feb. 7th,,,six,,,,,,,The K Club,
434,Book a table for 1 somewhere in Andorra,,,,,,1,,,,Andorra,,,,
435,Book me a reservation for a mediterranean  restaurant on Confederate Memorial Day  nearby  Ocean Grove,,,Confederate Memorial Day,nearby,restaurant,,,mediterranean,,,,Ocean Grove,,
436,Book a table for tomorrow for five people.,,,tomorrow,,,five,,,,,,,,
437,book a spot at a highly rated  pub in Woodston,,,,,pub,,highly rated,,Woodston,,,,,
438,Book a reservation for 4 at a bar serving corn relish,corn relish,,,,bar,4,,,,,,,,
439,I need a reservation for 3 at Clinton Street Baking Company & Restaurant ,,,,,,3,,,,,,,Clinton Street Baking Company & Restaurant,
440,I'd like to eat at a restaurant with wifi,,wifi,,,restaurant,,,,,,,,,
441,Book reservations at a restaurant for eight people in New Jersey,,,,,restaurant,eight,,,,,,,,New Jersey
442,I'd like a table for 7 at ten pm at a cafeteria in AL that serves malaysian food,,,ten pm,,cafeteria,7,,malaysian,,,,,,AL
443,Book a restaurant that serves scampi for 10 people.,scampi,,,,restaurant,10,,,,,,,,
444,book a spot that is faraway from the Municipal Borough of Farnworth  in 16 minutes,,,in 16 minutes,faraway,,,,,,,,Municipal Borough of Farnworth,,
445,"book a table for me, leanne and tami at a restaurant serving caucasian  food",,,,,food,,,caucasian,,,"me, leanne and tami",,,
446,Book a table for 10 at the Dunbrody Country House Hotel in Serbia,,,,,,10,,,,Serbia,,,Dunbrody Country House Hotel,
447,"Book reservations at a restaurant in New Zealand with tammi, beverly and alba",,,,,restaurant,,,,,New Zealand,"tammi, beverly and alba",,,
448,book a spot for three at a bakery in Grand Portage,,,,,bakery,three,,,Grand Portage,,,,,
449,I want to book a restaurant  within walking distance of my neighborhood .,,,,within walking distance,restaurant,,,,,,,neighborhood,,
450,Find an Oasis Drive-In  close-by  Beach 105th St .,,,,close-by,,,,,,,,Beach 105th St,Oasis Drive-In,
451,"Book a table for 5 people in Goodland , AK .",,,,,,5,,,Goodland,,,,,AK
452,Book a reservation for a pub with ma po tofu in Moldova,ma po tofu,,,,pub,,,,,Moldova,,,,
453,I would like to book a goan  restaurant for 8,,,,,restaurant,8,,goan,,,,,,
454,book a restautant in North Dakota at a bistro that is indoor,,indoor,,,bistro,,,,,,,,,North Dakota
455,"want to eat at Diners of Allentown, Pennsylvania on purim",,,purim,,,,,,,,,,"Diners of Allentown, Pennsylvania",
456,I need a reservation for four at a bar,,,,,bar,four,,,,,,,,
457,I need a table for 6 to eat at nearby in Clinchco .,,,,nearby,,6,,,Clinchco,,,,,
458,my father in law and I would like to go to a highly rated  bar,,,,,bar,,highly rated,,,,my father in law and I,,,
459,book a food court  indoor at Penermon for my step father and I,,indoor,,,food court,,,,Penermon,,my step father and I,,,
460,I need a table at a czech  pub at seven,,,,,pub,seven,,czech,,,,,,
461,Restaurant in Brokaw for a cuisine russian  far  restaurant,,,,far,restaurant,,,russian,Brokaw,,,,,
462,"book table to a tavern for a scrapple for harriett, deanne and I",scrapple,,,,tavern,,,,,,"harriett, deanne and I",,,
463,book a Steinway St place for 8 that is close,,,,close,,8,,,,,,Steinway St,,
464,book a restaurant  close by  my daughters's work location with burrito  three years from now,burrito,,three years from now,close by,restaurant,,,,,,,my daughters's work location,,
465,I'd like to eat in 1 minute at a neighboring  neighborhood  restaurant ,,,in 1 minute,neighboring,restaurant,,,,,,,neighborhood,,
466,book a restaurant for me and rosemary at 1 am,,,1 am,,restaurant,,,,,,me and rosemary,,,
467,book a spot for tommie and vera rogers in Irvine at 7 AM,,,7 AM,,,,,,Irvine,,tommie and vera rogers,,,
468,book a restaurant  163 days from now,,,163 days from now,,restaurant,,,,,,,,,
469,"restaurant in Kuwait for seven , Mar. eighteenth, 2030",,,"Mar. eighteenth, 2030",,restaurant,seven,,,,Kuwait,,,,
470,I want to eat at a highly rated  food court,,,,,food court,,highly rated,,,,,,,
471,"book a restaurant for me, valarie and caroline  in 56 weeks in Soldier Pond",,,in 56 weeks,,restaurant,,,,Soldier Pond,,"me, valarie and caroline",,,
472,Book reservation in Gasconade at the best  restaurant in DC,,,,,restaurant,,best,,Gasconade,,,,,DC
473,I need a reservation for The Berghoff in Jamaica  in 18 seconds,,,in 18 seconds,,,,,,,Jamaica,,,The Berghoff,
474,I'd like a table for two at a place in West Whittier  Nevada on indigenous people's day,,,indigenous people's day,,,two,,,West Whittier,,,,,Nevada
475,I would like to book a restaurant in Niagara Falls for 8 on June nineteenth,,,June nineteenth,,restaurant,8,,,Niagara Falls,,,,,
476,book a spot for six friends,,,,,,six,,,,,,,,
477,Find a popular  diner that serves brazilian  close by  Oklahoma for nine people.,,,,close by,diner,nine,popular,brazilian,,,,,,Oklahoma
478,I need a reservation for ten in Wisconsin,,,,,,ten,,,,,,,,Wisconsin
479,Find a reservation at the Roseland Theater at 10 pm,,,10 pm,,,,,,,,,,Roseland Theater,
480,Book a bar that serves italian-american cuisine  neighboring  Wilson Av for one person.,italian-american cuisine,,,neighboring,bar,one,,,,,,Wilson Av,,
481,Book the Bobcat Bite .,,,,,,,,,,,,,Bobcat Bite,
482,Book a restaurant in Myanmar for 4 .,,,,,restaurant,4,,,,Myanmar,,,,
483,I want a table for 4 at any kind of goiano  bar,,,,,bar,4,,goiano,,,,,,
484,book a table for five at a restaurant with the best rating,,,,,restaurant,five,best,,,,,,,
485,book a spot for 3 at supper time in IL,,,supper,,,3,,,,,,,,IL
486,Get me a table for one at a popular  brasserie,,,,,brasserie,one,popular,,,,,,,
487,book a spot at an osteria that has goiano in Ward Springs,,,,,osteria,,,goiano,Ward Springs,,,,,
488,book a spot for seven in 8 seconds from now,,,8 seconds from now,,,seven,,,,,,,,
489,Find a reservation for a tea house in Lorain,,,,,tea house,,,,Lorain,,,,,
490,I need a reservation for 8 at a top-rated  restaurant in Hagaman,,,,,restaurant,8,top-rated,,Hagaman,,,,,
491,"book a spot for connie, earline and rose at an oyster bar that serves chicken fried bacon in Beauregard  Delaware",chicken fried bacon,,,,oyster bar,,,,Beauregard,,"connie, earline and rose",,,Delaware
492,Lets get a table for 10 at Space Aliens Grill & Bar,,,,,,10,,,,,,,Space Aliens Grill & Bar,
493,Book the Union Oyster House in Guanica  Puerto Rico .,,,,,,,,,Guanica,,,,Union Oyster House,Puerto Rico
494,"Book a reservation for 6 in Belle Plaine , NE",,,,,,6,,,Belle Plaine,,,,,NE
495,book me a reservation at an oyster bar that serves crab cake for two people,crab cake,,,,oyster bar,two,,,,,,,,
496,i need to book a table for three in Lesotho,,,,,,three,,,,Lesotho,,,,
497,Book a reservation for a pub with internet for 2 people,,internet,,,pub,2,,,,,,,,
498,"Would like a table right now for leonor mendoza, imogene and lisa sanchez",,,now,,,,,,,,"leonor mendoza, imogene and lisa sanchez",,,
499,I want to book a churrascaria restaurant for ten people.,,,,,churrascaria,ten,,,,,,,,
500,party for ten at National Coney Island in DE,,,,,,ten,,,,,,,National Coney Island,DE
501,Book a table for three at a restarunt in Federal Hill,,,,,,three,,,Federal Hill,,,,,
502,"book a spot for 8 at The Kitchin on october the 13th, 2039",,,"october the 13th, 2039",,,8,,,,,,,The Kitchin,
503,Book a reservation for 8 at a restaurant that serves chicken fried bacon in Aruba,chicken fried bacon,,,,restaurant,8,,,,Aruba,,,,
504,Please make reservations for nine at 3 am .,,,3 am,,,nine,,,,,,,,
505,Book a table at a pub in China .,,,,,pub,,,,,China,,,,
506,"I need a reservation for a restaurant in Bangladesh on feb. the 11th, 2032",,,"feb. the 11th, 2032",,restaurant,,,,,Bangladesh,,,,
507,book a spot for ten at a pizzeria that has tourte in Minnesota  in 22 and a half weeks in Yamhill,tourte,,in 22 and a half weeks,,pizzeria,ten,,,Yamhill,,,,,Minnesota
508,book a table at Black Rapids Roadhouse in Antarctica for nine,,,,,,nine,,,,Antarctica,,,Black Rapids Roadhouse,
509,Book a table at The Vortex Bar & Grill on Alaska Day in the state of Rhode Island,,,Alaska Day,,,,,,,,,,The Vortex Bar & Grill,Rhode Island
510,Reserve a table for two at a restaurant which serves creole  around here in Myanmar .,,,,around,restaurant,two,,creole,,Myanmar,,,,
511,my brother in law and I would like to go to Guinea-Bissau for food,,,,,,,,,,Guinea-Bissau,my brother in law and I,,,
512,Please get seating at Bouchon in Tonga for jimmie and chasity howard,,,,,,,,,,Tonga,jimmie and chasity howard,,Bouchon,
513,Book a restaurant in Michigan for 4 people.,,,,,restaurant,4,,,,,,,,Michigan
514,I need a reservation for next week with a party of six,,,next week,,,six,,,,,,,,
515,please book a restaurant with parking facility at taverna,,parking,,,taverna,,,,,,,,,
516,call for a table of 3 at the Tavern on the Green in South Farmingdale,,,,,,3,,,South Farmingdale,,,,Tavern on the Green,
517,"Book a restaurant for monique stewart, arlene and jami .",,,,,restaurant,,,,,,"monique stewart, arlene and jami",,,
518,Book reservations to a cafeteria in Brockway  Colorado that serves thai food for six people,,,,,cafeteria,six,,thai,Brockway,,,,,Colorado
519,book a table for 7 at a churrascaria that is highly rated,,,,,churrascaria,7,highly rated,,,,,,,
520,Take me to the top-rated  taverna in Sealy for trattoria  next week for 5,,,next week,,taverna,5,top-rated,trattoria,Sealy,,,,,
521,"I need a reservation for me, edna and alyson at the steakhouse called smoking room",,smoking room,,,steakhouse,,,,,,"me, edna and alyson",,,
522,susanne and carey phillips want to go to a brasserie  not far from Pricedale that serves southern brazilian,,,,not far,brasserie,,,southern brazilian,Pricedale,,susanne and carey phillips,,,
523,I want a table for my grandson and I somewhere in Arkansas,,,,,,,,,,,my grandson and I,,,Arkansas
524,I want a table for 3 at a restaurant,,,,,restaurant,3,,,,,,,,
525,book near  Montana  restaurant serving sri lankan food for 6 that is highly rated on tues.,,,tues.,near,restaurant,6,highly rated,sri lankan,,,,,,Montana
526,I need a reservation for the Oasis Drive-In for a party of four,,,,,,four,,,,,,,Oasis Drive-In,
527,I need a diner,,,,,diner,,,,,,,,,
528,book a restaurant for four in Trinidad and Tobago,,,,,restaurant,four,,,,Trinidad and Tobago,,,,
529,I would like to book a puglia  food court in KY,,,,,food court,,,puglia,,,,,,KY
530,"Lets take me, cherry and tracie to a Noyack  bar",,,,,bar,,,,Noyack,,"me, cherry and tracie",,,
531,Book a reservation for a top-rated  lebanese  fast food place,,,,,fast food,,top-rated,lebanese,,,,,,
532,book a osteria with smoking room in Creola,,smoking room,,,osteria,,,,Creola,,,,,
533,I need a table for four at a restaurant in AL,,,,,restaurant,four,,,,,,,,AL
534,I need to book a restaurant for seven people at elevenses  Seafood restaurant,,,elevenses,,restaurant,seven,,,,,,,Seafood restaurant,
535,I'd like to book a table at Black Horse Tavern in Georgia at 4 am,,,4 am,,,,,,,,,,Black Horse Tavern,Georgia
536,book Tartine in Mississippi for 5,,,,,,5,,,,,,,Tartine,Mississippi
537,I'd like to eat at the best  restaurant ,,,,,restaurant,,best,,,,,,,
538,Book a table for ten for breakfast in Minnesota .,,,breakfast,,,ten,,,,,,,,Minnesota
539,Please book a room to accommodate one  in 11 weeks  near  Bahamas  restaurant,,,in 11 weeks,near,restaurant,one,,,,Bahamas,,,,
540,Lets eat at Newport Creamery in Carnot,,,,,,,,,Carnot,,,,Newport Creamery,
541,I need a reservation for four at a restaurant  in 1 hour and 1 second,,,in 1 hour and 1 second,,restaurant,four,,,,,,,,
542,book any popular  puglia serving oyster bar for 10 in Jemez Springs,,,,,oyster bar,10,popular,puglia,Jemez Springs,,,,,
543,Book a table at South Street Diner  close to your teenager's college .,,,,close,,,,,,,,your teenager's college,South Street Diner,
544,I want to book a restaurant in Keeling Islands for a party of ten,,,,,restaurant,ten,,,,Keeling Islands,,,,
545,I need a reservation for a churrascaria in Oneonta  Wyoming for a party of 4,,,,,churrascaria,4,,,Oneonta,,,,,Wyoming
546,book a spot for 7 at an outdoor  food court in Denmark,,outdoor,,,food court,7,,,,Denmark,,,,
547,Book a restaurant in Almyra  in 10 years ,,,in 10 years,,restaurant,,,,Almyra,,,,,
548,Find a reservation within walking distance of pauline's place for a party of 10 at fourteen o'clock at a restaurant that serves aioli,aioli,,fourteen o'clock,within walking distance,restaurant,10,,,,,,pauline's place,,
549,Can you make a reservation for next year in Modesto for joanna and ella,,,next year,,,,,,Modesto,,joanna and ella,,,
550,"Want a table at Montyâs Hotel, Secunderabad in the state of Vermont",,,,,,,,,,,,,"Montyâs Hotel, Secunderabad",Vermont
551,"I would like reservations made for Masonville , Vermont  nov. 7",,,nov. 7,,,,,,Masonville,,,,,Vermont
552,book a socca serving steakhouse for 2 in Saint James  Alabama,socca,,,,steakhouse,2,,,Saint James,,,,,Alabama
553,Book a table for nine people in Svalbard and Jan Mayen .,,,,,,nine,,,,Svalbard and Jan Mayen,,,,
554,I need to find a table for 4 at a brasserie that has fondue,fondue,,,,brasserie,4,,,,,,,,
555,I need a restaurant that can seat 3 in Cochran that has wifi .,,wifi,,,restaurant,3,,,Cochran,,,,,
556,I need a table for 10 at the best  gastropub,,,,,gastropub,10,best,,,,,,,
557,Make me a reservation that serves kebab at a delicatessen in AMbler,kebab,,,,delicatessen,,,,AMbler,,,,,
558,Book a table at a french  restaurant for fern and I,,,,,restaurant,,,french,,,fern and I,,,
559,I need a reservation for a highly rated  bistro for a party of 10 .,,,,,bistro,10,highly rated,,,,,,,
560,I want to book a pub in Juniper for 8 that serves bÃ»che de noÃ«l,bÃ»che de noÃ«l,,,,pub,8,,,Juniper,,,,,
561,book a mediterranean  restaurant for my sister and I,,,,,restaurant,,,mediterranean,,,my sister and I,,,
562,book a pub in Clermont for 8 people,,,,,pub,8,,,Clermont,,,,,
563,"Book reservations at restaurant in Edgemoor  NM on august 3, 2024",,,"august 3, 2024",,restaurant,,,,Edgemoor,,,,,NM
564,I would like to book a restaurant for two in 42 weeks from now in Wagram,,,42 weeks from now,,restaurant,two,,,Wagram,,,,,
565,Book a restaurant in Everson  Nevada that serves conchiglie for two people.,conchiglie,,,,restaurant,two,,,Everson,,,,,Nevada
566,Please book a restaurant for ten members near  downtown at 20:38,,,20:38,near,restaurant,ten,,,,,,downtown,,
567,"Book a table for 6 in The Cheese Course , Blocher on February the 10th .",,,February the 10th,,,6,,,Blocher,,,,The Cheese Course,
568,"Book a table for me, naomi and elisabeth at a brasserie with wifi",,wifi,,,brasserie,,,,,,"me, naomi and elisabeth",,,
569,need a table at a highly rated  south tyrolean  joint,,,,,joint,,highly rated,south tyrolean,,,,,,
570,Make me a reservation for a party of 6 at a pub at five o'clock in Arizona that serves waffles in the city of Hat Creek,waffles,,five o'clock,,pub,6,,,Hat Creek,,,,,Arizona
571,restaurant  scandinavian in Grenada,,,,,restaurant,,,scandinavian,,Grenada,,,,
572,Can I get some russian cuisine at a restaurant with shari and I ?,,,,,restaurant,,,russian,,,shari and I,,,
573,Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated  fast food place that serves north indian food not distant from Moores Mill,,,three hundred thirty three days from now,not distant,fast food,eight,highly rated,north indian,Moores Mill,,,,,
574,Book an osteria that serves blini for 9 people.,blini,,,,osteria,9,,,,,,,,
575,Please book a brasserie restaurant for eight in Ireland,,,,,brasserie restaurant,eight,,,,Ireland,,,,
576,book a table for 2 in Gleed ,,,,,,2,,,Gleed,,,,,
577,Book reservations at a restaurant that serves brazilian food for 9 people,,,,,restaurant,9,,brazilian,,,,,,
578,Book an outdoor  restaurant .,,outdoor,,,restaurant,,,,,,,,,
579,book verdure serving restaurant in Bloom City,verdure,,,,restaurant,,,,Bloom City,,,,,
580,book a restaurant in AL at Oak Ridge,,,,,restaurant,,,,Oak Ridge,,,,,AL
581,I want to take nine people to a diner  close to the spa,,spa,,close,diner,nine,,,,,,,,
582,book a spot at a highly rated  afghan  restaurant,,,,,restaurant,,highly rated,afghan,,,,,,
583,Book a reservation for Thomas Hynes House on jan. the third in Netherlands,,,jan. the third,,,,,,,Netherlands,,,Thomas Hynes House,
584,"Book a reservation for leticia, melva and twila edwards at Glassy Junction for five pm  within the same area of our secondary residence",,,five pm,within the same area,,,,,,,"leticia, melva and twila edwards",our secondary residence,Glassy Junction,
585,I want to book a food court for 5 at 1 am,,,1 am,,food court,5,,,,,,,,
586,Find a reservation at Berowra Waters Inn in Australia  in 2 years ,,,in 2 years,,,,,,,Australia,,,Berowra Waters Inn,
587,book a table in Fullerville at a highly rated  bar,,,,,bar,,highly rated,,Fullerville,,,,,
588,Can you get seating for my father and I at a restaurant in Birch Run,,,,,restaurant,,,,Birch Run,,my father and I,,,
589,Book a best  restaurant in Wrigley .,,,,,restaurant,,best,,Wrigley,,,,,
590,I need a table for 8 people at a highly rated  pub that serves umbrian cuisine,,,,,pub,8,highly rated,umbrian,,,,,,
591,I'd like seats for ten at a highly rated  brasserie in Kyrgyzstan,,,,,brasserie,ten,highly rated,,,Kyrgyzstan,,,,
592,Book a restaurant with parking for three people.,,parking,,,restaurant,three,,,,,,,,
593,"Book a table for 2 at The Mustard Seed , Agate .",,,,,,2,,,Agate,,,,The Mustard Seed,
594,Book me a bar where I can get a bear claw in AS,bear claw,,,,bar,,,,,,,,,AS
595,Find me a table for me and my grandkid in Union Square Cafe,,,,,,,,,,,me and my grandkid,,Union Square Cafe,
596,stacy watson and adriana want to go to the best  osteria in Hallowell  Minnesota this afternoon,,,afternoon,,osteria,,best,,Hallowell,,stacy watson and adriana,,,Minnesota
597,I'd like to eat at Old Dutch  in 15 seconds in Northern Mariana Islands,,,in 15 seconds,,,,,,,,,,Old Dutch,Northern Mariana Islands
598,book a table at a pool  bar,,pool,,,bar,,,,,,,,,
599,"I want to eat Louisiana Fried Chicken in McColl , IA",,,,,,,,,McColl,,,,Louisiana Fried Chicken,IA
600,book a table in Tennessee for 1 for next August,,,next August,,,1,,,,,,,,Tennessee
601,I'd like to eat at the oyster bar for a party of one that has internet,,internet,,,oyster bar,one,,,,,,,,
602,I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas  FM,,,,,,,,,Uncas,,jacqueline wilson and deanna,,David Carpenter House,FM
603,Book a restaurant for one person at 7 AM,,,7 AM,,restaurant,one,,,,,,,,
604,Book a brasserie that serves mezzes in Iowa .,mezzes,,,,brasserie,,,,,,,,,Iowa
605,Would like to book a restaurant the last day of sukkot for lee and ines,,,last day of sukkot,,restaurant,,,,,,lee and ines,,,
606,book Red Crown Tourist Court  now for ten  not far from Tin City,,,now,not far,,ten,,,Tin City,,,,Red Crown Tourist Court,
607,I would like to find a cafe that serves grilled meat  close by in Tunisia and need a table for 2  one second from now .,grilled meat,,one second from now,close by,cafe,2,,,,Tunisia,,,,
608,at 4 am book a bar in the spa in Shamrock for eight,,spa,4 am,,bar,eight,,,Shamrock,,,,,
609,Book a table at an indoor  restaurant  now .,,indoor,now,,restaurant,,,,,,,,,
610,I want a table for 8 in Plain on Aug. 5,,,Aug. 5,,,8,,,Plain,,,,,
611,Book a highly rated  coffeehouse for four people.,,,,,coffeehouse,four,highly rated,,,,,,,
612,I want to eat supper at a Lesotho plaCE,,,supper,,,,,,,Lesotho,,,,
613,Restaurant in Durant for 3 PM,,,3 PM,,Restaurant,,,,Durant,,,,,
614,Lets go to the Rainforest Cafe that is in the same area as 135th St,,,,in the same area,,,,,,,,135th St,Rainforest Cafe,
615,I'd like a bar with hawaiian food in ND,,,,,bar,,,hawaiian,,,,,,ND
616,"Book a table for 1 on November the first, 2022",,,"November the first, 2022",,,1,,,,,,,,
617,Can you get me seating for a party of 5,,,,,,5,,,,,,,,
618,Book a popular  restaurant in New Jersey .,,,,,restaurant,,popular,,,,,,,New Jersey
619,Book a bar which serves chicken french at Robinson .,chicken french,,,,bar,,,,Robinson,,,,,
620,Find me a creole  restaurant,creole,,,,restaurant,,,,,,,,,
621,I'd like to get reservations at a top-rated  restaurant in Arkansas .,,,,,restaurant,,top-rated,,,,,,,Arkansas
622,I want to book a bistro that serves pasta salad in Brazil .,pasta salad,,,,bistro,,,,,Brazil,,,,
623,Make me a reservation somewhere outdoor in Port Wentworth for a party of five at a coffeehouse  in ten months that is distant,,outdoor,in ten months,distant,coffeehouse,five,,,Port Wentworth,,,,,
624,book a spot at a steakhouse with internet,,internet,,,steakhouse,,,,,,,,,
625,Book a table for cherie and josephine in Indonesia,,,,,,,,,,Indonesia,cherie and josephine,,,
626,book a spot at the top-rated  pub in Garner,,,,,pub,,top-rated,,Garner,,,,,
627,Book a table at a faraway  brasserie in NJ .,,,,faraway,brasserie,,,,,,,,,NJ
628,book a table in Greece for 4,,,,,,4,,,,Greece,,,,
629,I need to book a table at a fast food spot that serves slinger in PR,slinger,,,,fast food,,,,,,,,,PR
630,book a spot for one at a pub that serves som tam,som tam,,,,pub,one,,,,,,,,
631,Book a distant  restaurant that serves blini on 103rd St for 6 people.,blini,,,distant,restaurant,6,,,,,,103rd St,,
632,"casey chavez, lucinda and karina want to eat at a diner on december the 7th",,,december the 7th,,diner,,,,,,"casey chavez, lucinda and karina",,,
633,Book a restaurant for 9 people.,,,,,restaurant,9,,,,,,,,
634,book a table at Serendipity 3 in Veyo for now,,,now,,,,,,Veyo,,,,Serendipity 3,
635,book a best  steakhouse for 2 in Montserrat on 79 days and a half from now,,,79 days and a half from now,,steakhouse,2,best,,,Montserrat,,,,
636,book a bar for 2 in Hayden Row on friday,,,friday,,bar,2,,,Hayden Row,,,,,
637,I want to book the best  pub for 6 in New Mexico,,,,,pub,6,best,,,,,,,New Mexico
638,"bar restaurant for November the twelfth, 2030 that is popular and for a party of ten",,,"November the twelfth, 2030",,bar restaurant,ten,popular,,,,,,,
639,book a pizza serving tavern for me and my brother,pizza,,,,tavern,,,,,,me and my brother,,,
640,I'd like to reserve a table in Northcote .,,,,,,,,,,,,,Northcote,
641,"Please book a restaurant for six members on Jul. 13, 2036",,,"Jul. 13, 2036",,restaurant,six,,,,,,,,
642,Book a restaurant with a spa in Connecticut,,spa,,,restaurant,,,,,,,,,Connecticut
643,book a spot for elise and alma at a brasserie in Ravensdale  MH for this week,,,this week,,brasserie,,,,Ravensdale,,elise and alma,,,MH
644,"book a spot for five at a brasserie on jan. 7, 2023",,,"jan. 7, 2023",,brasserie,five,,,,,,,,
645,Book a bar with a pool in Mountain Iron .,,pool,,,bar,,,,Mountain Iron,,,,,
646,book a table with wifi in Delaware at a restaurant  in one minute,,wifi,in one minute,,restaurant,,,,,,,,,Delaware
647,I need to book a highly rated  restaurant in Coronado,,,,,restaurant,,highly rated,,Coronado,,,,,
648,Make me a reservation in Cedarburg at 0 pm,,,0 pm,,,,,,Cedarburg,,,,,
649,Book a reservation for a trentino  restaurant in Kansas,,,,,restaurant,,,trentino,,,,,,Kansas
650,book me and my grandparents a restaurant in Saint Helens  South Dakota,,,,,restaurant,,,,Saint Helens,,me and my grandparents,,,South Dakota
651,Reserve a table for teresa and elnora at a fast food joint which serves fish and chips,fish and chips,,,,fast food joint,,,,,,teresa and elnora,,,
652,I want a restaurant reservation for a party of 8 at a vegetarian  tea house .,,,,,tea house,8,,vegetarian,,,,,,
653,I need a reservation for four  this year at a restaurant,,,this year,,restaurant,four,,,,,,,,
654,book a table in Fairview  neighboring the area,,,,area,,,,,,,,Fairview,,
655,Need a jewish in Maine to book a restaurant,,,,,restaurant,,,jewish,,,,,,Maine
656,book spot at a balinese  joint,,,,,joint,,,balinese,,,,,,
657,I want a restaurant in Idaho for 2 of us.,,,,,restaurant,2,,,,,,,,Idaho
658,Book a tyrolean  restaurant in Crocker  Indiana  now for 3 people.,,,now,,restaurant,3,,tyrolean,Crocker,,,,,Indiana
659,"Can I book a restaurant that serves pastelaria in Takilma , Virgin Islands ?",,,,,restaurant,,,pastelaria,Takilma,,,,,Virgin Islands
660,I want to book an indoor  brasserie  within walking distance in ME .,,indoor,,within walking distance,brasserie,,,,,,,,,ME
661,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",,parking,,,pub,,,,,,"angelita, susan reed and ashlee watson",,,
662,Book a restaurant in Gate City for 5 people.,,,,,restaurant,5,,,Gate City,,,,,
663,book a spot for six at a restaurant that serves fish and chips,fish and chips,,,,restaurant,six,,,,,,,,
664,book a spot for 9 at Dinner in the Sky in SC,,,,,,9,,,,,,,Dinner in the Sky,SC
665,Book a taverna in Equatorial Guinea  this month for nine people.,,,this month,,taverna,nine,,,,Equatorial Guinea,,,,
666,book a stracciatella provider coffeehouse for 10,stracciatella,,,,coffeehouse,10,,,,,,,,
667,Book reservations at a faraway  restaurant in Newtown at meal time,,,meal,faraway,restaurant,,,,,,,Newtown,,
668,reserve a spotat the food truck  twelve weeks from now,,,twelve weeks from now,,food truck,,,,,,,,,
669,Book a reservation for a restaurant in Palau  in six years ,,,in six years,,restaurant,,,,,,,,,Palau
670,restaurant in West Virginia for my son and I,,,,,restaurant,,,,,,my son and I,,,West Virginia
671,I'd like to reserve a table at a pub that serves andouillettes  within the same area in San Marino .,andouillettes,,,within the same area,pub,,,,,San Marino,,,,
672,Book me a reestaurant that is close in the country of Cocos Islands,,,,close,,,,,,Cocos Islands,,,,
673,I need a table for 10 at Thomas Hynes House  nineteen minutes from now,,,nineteen minutes from now,,,10,,,,,,,Thomas Hynes House,
674,Please find a restaurant in Sierraville  Wyoming that has room for 6,,,,,restaurant,6,,,Sierraville,,,,,Wyoming
675,Need a table for sep. first in Haiti for a party of three,,,sep. first,,,three,,,,Haiti,,,,
676,Table for five at a restaurant in Lavina,,,,,restaurant,five,,,Lavina,,,,,
677,book me a taverna restaurant,,,,,taverna restaurant,,,,,,,,,
678,I want to book the best  steakhouse with south american cuisines in Alaska,,,,,steakhouse,,best,south american,,,,,,Alaska
679,Find a reservation for mar. 20th in Winnie at any restaurant,,,mar. 20th,,restaurant,,,,Winnie,,,,,
680,Book a food truck in MP for me and my ex husband .,,,,,food truck,,,,,,me and my ex husband,,,MP
681,I need a table for 3 at David Whitney House in Brazil,,,,,,3,,,,Brazil,,,David Whitney House,
682,book a table for 2 guests at a restaurant in Lazy Mountain  NY,,,,,restaurant,2,,,Lazy Mountain,,,,,NY
683,Find a table close by in the downtown  area for sherri and I,,,,area,,,,,,,sherri and I,downtown,,
684,sofia phillips and winifred walker want to dine at a mughlai  restaurant in LA on Nov. the 1st,,,Nov. the 1st,,restaurant,,,mughlai,,,sofia phillips and winifred walker,,,LA
685,Can you book a table for eight people at a spa type restaurant  within walking distance of the Metropolitan Borough of Lambeth,,spa,,within walking distance,restaurant,eight,,,,,,Metropolitan Borough of Lambeth,,
686,book a spot for me and my sister at a restaurant that has clafoutis,clafoutis,,,,restaurant,,,,,,me and my sister,,,
687,make a table reservation at the top-rated  brasserie in Cotton Center,,,,,brasserie,,top-rated,,Cotton Center,,,,,
688,restaurant in South Sudan for 6,,,,,restaurant,6,,,,South Sudan,,,,
689,Book a party for 7 at a food court with potato salad in Alabama  in eleven hours ,potato salad,,in eleven hours,,food court,7,,,,,,,,Alabama
690,in 1 second I need a restaurant in San Marino for 9,,,in 1 second,,restaurant,9,,,,San Marino,,,,
691,I want to reserve a gastropub that has a spa .,,spa,,,gastropub,,,,,,,,,
692,book a spot at the best  steakhouse in Florida,,,,,steakhouse,,best,,,,,,,Florida
693,Find a reservation at a restaurant that serves gougÃ¨re in Laneville with a party of nine,gougÃ¨re,,,,restaurant,nine,,,Laneville,,,,,
694,book a restaurant for six in MP,,,,,restaurant,six,,,,,,,,MP
695,book a table in Glennie for 1 in the Northern Mariana Islands,,,,,,1,,,Glennie,,,,,Northern Mariana Islands
696,I want a table for 2 at a restaurant late at night .,,,night,,restaurant,2,,,,,,,,
