,text,genre,playlist,sort,track,music_item,service,year,album,artist
373,"Play me Gil Parris 's A Cup Of Coffee, A Sandwich And You",,,,"A Cup Of Coffee, A Sandwich And You",,,,,Gil Parris
374,Play Pura Vida .,,Pura Vida,,,,,,,
375,Play a top fifty  ballad by Linda Strawberry on Google Music,,,top fifty,,ballad,Google Music,,,Linda Strawberry
376,use Spotify to play greatest songs from Kailash Kher,,,greatest,,,Spotify,,,Kailash Kher
377,Play the newest  melody by Cisco Adler on pandora,,,newest,,melody,pandora,,,Cisco Adler
378,Use service Vimeo to play music from the artist Mick  track  Now We Are 5,,,,,track,Vimeo,,Now We Are 5,Mick
379,Open Youtube and play Renaldo Lapuz  record from the eighties,,,,,record,Youtube,eighties,,Renaldo Lapuz
380,play some good  amber gristak on Lastfm,,,good,,,Lastfm,,,amber gristak
381,play some synthpop,synthpop,,,,,,,,
382,Play music from my relentless playlist,,relentless,,,,,,,
383,Plpay my Disco Fever playlist.,,Disco Fever,,,,,,,
384,play valerij kipelov on Vimeo,,,,,,Vimeo,,,valerij kipelov
385,Can you play The Change Is Made on Netflix,,,,The Change Is Made,,Netflix,,,
386,Play some Robbie Merrill .,,,,,,,,,Robbie Merrill
387,Play me a song from the twenties by Randy Bachman,,,,,song,,twenties,,Randy Bachman
388,I need to hear some r&b music off of iheart,r&b,,,,,iheart,,,
389,Play some dance music.,,dance,,,,,,,
390,Play new music from Liang Wern Fook,,,new,,,,,,Liang Wern Fook
391,listen to Pmd  symphony,,,,,symphony,,,,Pmd
392,play By The Sleepy Lagoon by Greg Kurstin,,,,By The Sleepy Lagoon,,,,,Greg Kurstin
393,I want to listen to some Saori Atsumi from the twenties on Deezer,,,,,,Deezer,twenties,,Saori Atsumi
394,Play some gangsta music,gangsta,,,,,,,,
395,Play The Eternal by Juju Mob on Vimeo .,,,,,,Vimeo,,The Eternal,Juju Mob
396,Play me a Mario Vazquez  movement,,,,,movement,,,,Mario Vazquez
397,Play music on Lastfm,,,,,,Lastfm,,,
398,Play Eve,,,,,,,,,Eve
399,Play music from 2011 .,,,,,,,2011,,
400,Play some Psychedelic Rock .,Psychedelic Rock,,,,,,,,
401,play Top 100 Indie Tracks on Spotify on Lastfm,,Top 100 Indie Tracks on Spotify,,,,Lastfm,,,
402,play an eighties  track ,,,,,track,,eighties,,
403,Can you play me some eighties music by Adele,,,,,,,eighties,,Adele
404,Play Oliver Cheatham 's symphony from the thirties .,,,,,symphony,,thirties,,Oliver Cheatham
405,Play chant music by Ira Losco on Iheart .,,,,,chant,Iheart,,,Ira Losco
406,Play me the most popular  Lillian Hardin  song on Itunes,,,most popular,,song,Itunes,,,Lillian Hardin
407,Play the red room sessions from chris cunningham,,,,,,,,the red room sessions,chris cunningham
408,Can i use Lastfm to listen to Twilight Time by Dj Khalil ?,,,,Twilight Time,,Lastfm,,,Dj Khalil
409,I want to listen to Roger Daltrey from the sixties on slacker,,,,,,slacker,sixties,,Roger Daltrey
410,Play music from Tommy Ridgley .,,,,,,,,,Tommy Ridgley
411,play All Of Your Toys by Chris Ledoux,,,,All Of Your Toys,,,,,Chris Ledoux
412,Play music by Fidel Nadal sorted by newest .,,,newest,,,,,,Fidel Nadal
413,Play Shaina Magdayao 's music on Iheart,,,,,,Iheart,,,Shaina Magdayao
414,I need to hear a thirties  soundtrack,,,,,soundtrack,,thirties,,
415,Play Dave Wyndorf  album,,,,,album,,,,Dave Wyndorf
416,Play me a song by Linn Berggren from Spotify,,,,,song,Spotify,,,Linn Berggren
417,Play me something by Funtwo,,,,,,,,,Funtwo
418,Play some The Lady Is A Tramp from Timour Moutsouraev,,,,The Lady Is A Tramp,,,,,Timour Moutsouraev
419,play pandora  tracks by Akhtar Sadmani,,,,,tracks,pandora,,,Akhtar Sadmani
420,Please play some music from 1996,,,,,,,1996,,
421,Use the service Lastfm to play music by the artist ai kago,,,,,,Lastfm,,,ai kago
422,Can you play a song by Ken,,,,,song,,,,Ken
423,Play music using Last Fm,,,,,,Last Fm,,,
424,play some Kyle Ward from the seventies,,,,,,,seventies,,Kyle Ward
425,Play Bald by Kaskade .,,,,Bald,,,,,Kaskade
426,Play me some music on Deezer,,,,,,Deezer,,,
427,Play my Futuros Hits playlist on Spotify .,,Futuros Hits,,,,Spotify,,,
428,Play Strength of Street Knowledge on Groove Shark,,Strength of Street Knowledge,,,,Groove Shark,,,
429,Use Pandora to play Korean OSTs,,Korean OSTs,,,,Pandora,,,
430,Play some Gospel music.,Gospel,,,,,,,,
431,Play satire,satire,,,,,,,,
432,Play the top 20  ep from the fifties by John Bundrick .,,,top 20,,ep,,fifties,,John Bundrick
433,Play Alfredo Zitarrosa on spotify .,,,,,,spotify,,,Alfredo Zitarrosa
434,Play me some Terror music,Terror,,,,,,,,
435,Play music from 2010 by Jason Donovan,,,,,,,2010,,Jason Donovan
436,Play me something on Last Fm,,,,,,Last Fm,,,
437,Play Giovanni Battista Guadagnini 's 1982  tracks .,,tracks,,,,,1982,,Giovanni Battista Guadagnini
438,Play some Rumba Africana .,Rumba Africana,,,,,,,,
439,Play Greg Raposo songs from the thirties,,,,,,,thirties,,Greg Raposo
440,Play a top-five  song by Pete Candoli .,,,top-five,,song,,,,Pete Candoli
441,Play Iheart,,,,,,Iheart,,,
442,Play the symphony by Tetsuya Ogawa from 1953,,,,,symphony,,1953,,Tetsuya Ogawa
443,Can you play me some Pop-folk music,Pop-folk,,,,,,,,
444,Play that new  song from 1970,,,new,,song,,1970,,
445,Play some space music on Google Music,space,,,,,Google Music,,,
446,Play a song by Juanes on Last Fm,,,,,song,Last Fm,,,Juanes
447,Play Salmonella Dub Dvd by mario rubalcaba on Vimeo ,,,,,,Vimeo,,Salmonella Dub Dvd,mario rubalcaba
448,Play some music from 1958 on Deezer .,,,,,,Deezer,1958,,
449,I want to hear some of David Gilmour 's music from 1973,,,,,,,1973,,David Gilmour
450,Play music from the playlist Late Night Jazz,,Late Night Jazz,,,,,,,
451,Play the song  Victim Of Changes from Hawkshaw Hawkins on Spotify,,,,Victim Of Changes,song,Spotify,,,Hawkshaw Hawkins
452,Play the music from the playlist Get Lit,,Get Lit,,,,,,,
453,play Bra Vibrationer by Dean,,,,Bra Vibrationer,,,,,Dean
454,Play music from the playlist Get Your Mind Right,,Get Your Mind Right,,,,,,,
455,Play Talking To The Universe on Itunes,,,,Talking To The Universe,,Itunes,,,
456,I want to hear the album  Insult To Injury by Narayana Tirtha .,,,,,album,,,Insult To Injury,Narayana Tirtha
457,play latest  Shaggy music,,,latest,,,,,,Shaggy
458,Play Slacker radio.,,,,,,Slacker,,,
459,Will you play a ballad from Mahalaxmi Iyer,,,,,ballad,,,,Mahalaxmi Iyer
460,use Spotify to play Nina Persson from 1962,,,,,,Spotify,1962,,Nina Persson
461,I want toi hear some Pop Punk Perfection í ¼í½ off of Deezer,,Pop Punk Perfection í ¼í½,,,,Deezer,,,
462,Start up my Independent Music Monday playlist.,,Independent Music Monday,,,,,,,
463,Play That Would Be Something by Eden Ahbez,,,,That Would Be Something,,,,,Eden Ahbez
464,Please play Every Woman In Me,,,,,,,,Every Woman In Me,
465,Play some Ven A Mi,,,,,,,,Ven A Mi,
466,Please play some fourties music on Spotify,,,,,,Spotify,fourties,,
467,Play Dj Cameo on itunes .,,,,,,itunes,,,Dj Cameo
468,play some gotye,,,,,,,,,gotye
469,play This Is Colour by Panda Bear,,,,This Is Colour,,,,,Panda Bear
470,Play songs by Cheryl Wheeler,,,,,,,,,Cheryl Wheeler
471,Play the most popular  song from Chae Yeon off of Spotify,,,most popular,,song,Spotify,,,Chae Yeon
472,Please play me something by New Wave Of American Heavy Metal,New Wave Of American Heavy Metal,,,,,,,,
473,Play Deezer,,,,,,Deezer,,,
474,Play me the best  Charles Neidich  song,,,best,,song,,,,Charles Neidich
475,I want to hear the sound track to Mary Macgregor new songs on Iheart,,,,,sound track,Iheart,,,Mary Macgregor
476,Play music on the playlist Electronic Gaming,,Electronic Gaming,,,,,,,
477,I want to hear some Bill Black  chant music,,,,,chant,,,,Bill Black
478,Play some thirties music on Netflix .,,,,,,Netflix,thirties,,
479,play some eighties by Amirbai Karnataki,,,,,,,eighties,,Amirbai Karnataki
480,Open Youtube and play Connie Francis Sings Spanish And Latin American Favorites from Yukiko Iwai,,,,,,Youtube,,Connie Francis Sings Spanish And Latin American Favorites,Yukiko Iwai
481,Play the Ricky Wilson  album  Spectral Dusk,,,,,album,,,Spectral Dusk,Ricky Wilson
482,Play Red Barchetta by Blind Lemon Jefferson .,,,,Red Barchetta,,,,,Blind Lemon Jefferson
483,Play the track  R U Professional by Roberto Carlos Braga,,,,R U Professional,track,,,,Roberto Carlos Braga
484,play drive playlist,,drive,,,,,,,
485,Play Regulateâ¦g Funk Era by artist Iouri Bachmet on groove shark,,,,,,groove shark,,Regulateâ¦g Funk Era,Iouri Bachmet
486,play music from Itunes for Ric Grech,,,,,,Itunes,,,Ric Grech
487,Play some music on Lastfm .,,,,,,Lastfm,,,
488,Play The Fool On The Hill by Khwaja Ghulam Farid,,,,The Fool On The Hill,,,,,Khwaja Ghulam Farid
489,Play the best songs of 2016,,,best,,,,2016,,
490,Play something by Chris Knight,,,,,,,,,Chris Knight
491,Wish to hear a concerto by Diplo from 1952,,,,,concerto,,1952,,Diplo
492,play songs from Youtube,,,,,,Youtube,,,
493,"Play an album from the fourties , new first.",,,new,,album,,fourties,,
494,"Play Chantal Kreviazuk , Sister Ray",,,,Sister Ray,,,,,Chantal Kreviazuk
495,"play Isaac Hayes on Pandora from love, sweat and beer ep",,,,,,Pandora,,"love, sweat and beer ep",Isaac Hayes
496,play Only Hope by Graham Bonnet,,,,Only Hope,,,,,Graham Bonnet
497,Play some Avantgarde music on Netflix .,Avantgarde,,,,,Netflix,,,
498,Play gothic music,gothic,,,,,,,,
499,I want to hear Song For Adam,,,,Song For Adam,,,,,
500,Play the playlist Feel Good Dinner .,,Feel Good Dinner,,,,,,,
501,Play the top  track by Claudja Barry on Last Fm,,,top,,track,Last Fm,,,Claudja Barry
502,Play some Iris Dement 's theme based 2015 music on lastfm ,,,,,theme,lastfm,2015,,Iris Dement
503,Play the latest  ballad by September,,,latest,,ballad,,,,September
504,Play fifties music,,,,,,,fifties,,
505,play songs by Sarah Harding,,,,,,,,,Sarah Harding
506,Play Maggot Brain by Albano Carrisi,,,,Maggot Brain,,,,,Albano Carrisi
507,Play a Jack Lawrence  concerto,,,,,concerto,,,,Jack Lawrence
508,I want to hear the top  Tim Madison,,,top,,,,,,Tim Madison
509,Play the 1991  soundtrack from Ian Mcdonald,,,,,soundtrack,,1991,,Ian Mcdonald
510,Play the best songs by Jes Brieden,,,best,,,,,,Jes Brieden
511,Play me a song by Kevin Cadogan,,,,,song,,,,Kevin Cadogan
512,"Play something from my Songs For You, Not Your Parents playlist",,"Songs For You, Not Your Parents",,,,,,,
513,Play Making Out by Alexander Rosenbaum off Google Music .,,,,Making Out,,Google Music,,,Alexander Rosenbaum
514,Play Rocket Queen on Itunes,,,,Rocket Queen,,Itunes,,,
515,Please play a song by Everlast,,,,,song,,,,Everlast
516,Play me some chant from the last half of the sixties,,,last,,chant,,sixties,,
517,Play music by Paul Mccartney,,,,,,,,,Paul Mccartney
518,Play some Krzysztof Penderecki on Last Fm,,,,,,Last Fm,,,Krzysztof Penderecki
519,Play easy listening,easy listening,,,,,,,,
520,play Robert Stoddard from 1988,,,,,,,1988,,Robert Stoddard
521,Play Gloria on last fm,,,,,,last fm,,,Gloria
522,play some movement by Dj Spinna,,,,,movement,,,,Dj Spinna
523,"play Lily, Rosemary And The Jack Of Hearts by Chris Goss",,,,"Lily, Rosemary And The Jack Of Hearts",,,,,Chris Goss
524,play Zvooq  latest  track by Peter Appleyard,,,latest,,track,Zvooq,,,Peter Appleyard
525,Play Brenda Kahn 's Rushall Station .,,,,,,,,Rushall Station,Brenda Kahn
526,play the top five songs by Isaac Hayes,,,top five,,,,,,Isaac Hayes
527,Play some music from the thirties .,,,,,,,thirties,,
528,Play 2011 music,,,,,,,2011,,
529,I want to hear Sebastian 's songs from the thirties on Youtube,,,,,,Youtube,thirties,,Sebastian
530,Play top 20 from frank farian,,,top 20,,,,,,frank farian
531,Play some music using slacker,,,,,,slacker,,,
532,Play some psychadelic music.,psychadelic,,,,,,,,
533,Play some Geir Jenssen .,,,,,,,,,Geir Jenssen
534,Start playing my Disney playlist.,,Disney,,,,,,,
535,I want to hear a Gucci Mane  song from Last Fm from 2002,,,,,song,Last Fm,2002,,Gucci Mane
536,Play me a 2003  song by Charles Neidich,,,,,song,,2003,,Charles Neidich
537,I want to hear some songs from the twenties,,,,,,,twenties,,
538,I'd like to hear chant songs from nineties,,,,,chant,,nineties,,
539,Can you play the newest  record from 1966 by Tony Lee,,,newest,,record,,1966,,Tony Lee
540,Please play Kabhi Jo Baadal Barse by Ruth Lorenzo,,,,Kabhi Jo Baadal Barse,,,,,Ruth Lorenzo
541,Play a record from 2015,,,,,record,,2015,,
542,Use the service Zvooq to play top-10 by artist Coolio,,,top-10,,,Zvooq,,,Coolio
543,Play thirties  symphony music from Nigga on Iheart,,,,,symphony,Iheart,thirties,,Nigga
544,play a sound track by Tom Thacker,,,,,sound track,,,,Tom Thacker
545,Play some Laurie Anderson .,,,,,,,,,Laurie Anderson
546,Open Last Fm and play the top  song from Daniel Lee Chee Hun ,,,top,,song,Last Fm,,,Daniel Lee Chee Hun
547,play some twenties music on Iheart,,,,,,Iheart,twenties,,
548,Play popular  eighties  record,,,popular,,record,,eighties,,
549,Play the track  Grow Old With Me by artist Chloe Rose Lattanzi,,,,Grow Old With Me,track,,,,Chloe Rose Lattanzi
550,on Deezer play fourties tunes by Jona Bechtolt and a ballad,,,,,ballad,Deezer,fourties,,Jona Bechtolt
551,play Kings Of The Wild Frontier by Andrea Bocelli,,,,,,,,Kings Of The Wild Frontier,Andrea Bocelli
552,Play an album from 1987 .,,,,,album,,1987,,
553,Play music from 1960,,,,,,,1960,,
554,Play a movement from the nineties,,,,,movement,,nineties,,
555,Play Bob Hilliard  top-twenty music,,,top-twenty,,,,,,Bob Hilliard
556,Play a seventies  soundtrack by steve walsh on Groove Shark,,,,,soundtrack,Groove Shark,seventies,,steve walsh
557,Use Deezer service to play Opera ,Opera,,,,,Deezer,,,
558,play Zvooq,,,,,,Zvooq,,,
559,I want to hear Techno-industrial music.,Techno-industrial,,,,,,,,
560,play the top  song by Amon Amarth on Groove Shark,,,top,,song,Groove Shark,,,Amon Amarth
561,Play Julie Driscoll,,,,,,,,,Julie Driscoll
562,play something from the twenties,,,,,,,twenties,,
563,Play The View From The Afternoon by Malese Jow on Last Fm,,,,The View From The Afternoon,,Last Fm,,,Malese Jow
564,play songs by Sammy Fain,,,,,,,,,Sammy Fain
565,Play music from the year 1964,,,,,,,1964,,
566,Play the heinz strobl  ep from 2016 on Groove Shark,,,,,ep,Groove Shark,2016,,heinz strobl
567,Play me Leonid Soybelman on Vimeo .,,,,,,Vimeo,,,Leonid Soybelman
568,Play a song from my workout playlist on Groove Shark,,workout,,,song,Groove Shark,,,
569,play some Alte Kameraden music,,,,Alte Kameraden,,,,,
570,Play the music Hands Up,,Hands Up,,,,,,,
571,Play some twenties  theme music on Google Music .,,,,,theme,Google Music,twenties,,
572,Play a fifties  album on Itunes .,,,,,album,Itunes,fifties,,
573,Play genre opera,opera,,,,,,,,
574,Play shadowplay by Dana on Deezer .,,,,shadowplay,,Deezer,,,Dana
575,Play music on Deezer by Imogen Heap,,,,,,Deezer,,,Imogen Heap
576,Find a top fifty  zahir howaida  concerto from the seventies,,,top fifty,,concerto,,seventies,,zahir howaida
577,Play the newest  twenties  melody .,,,newest,,melody,,twenties,,
578,I want to hear Box Of Rain by Skeets Mcdonald,,,,Box Of Rain,,,,,Skeets Mcdonald
579,Please play Casino Boogie,,,,Casino Boogie,,,,,
580,I want to hear a full  album on youtube by Jem Godfrey,,,,full,album,youtube,,,Jem Godfrey
581,Play an Asha Bhosle  song from around 1964,,,,,song,,1964,,Asha Bhosle
582,Play music from the twenties .,,,,,,,twenties,,
583,Play something by Louisiana Blues,Louisiana Blues,,,,,,,,
584,Play new  Ian Mclagan,,,new,,,,,,Ian Mclagan
585,Play music on Itunes,,,,,,Itunes,,,
586,I want to hear Ding Dong Bell on groove shark,,,,Ding Dong Bell,,groove shark,,,
587,Play fifties music on Slacker .,,,,,,Slacker,fifties,,
588,Play Before I Grew Up To Love You by Wafah Dufour,,,,Before I Grew Up To Love You,,,,,Wafah Dufour
589,Play a Jim Mullen  ep from the sixties,,,,,ep,,sixties,,Jim Mullen
590,Play some good music from 2012 .,,,good,,,,2012,,
591,Play the greatest  soundtrack by Nhat Son on Last Fm .,,,greatest,,soundtrack,Last Fm,,,Nhat Son
592,Play the top hits of 2016,,,top,,,,2016,,
593,"Play Fight On, State .",,,,"Fight On, State",,,,,
594,Use Pandora to play music from Maki Onaga from the album made in the nineties,,,,,album,Pandora,nineties,,Maki Onaga
595,Play the top five  Cemil Bey songs,,,top five,,,,,,Cemil Bey
596,Play opera music on google music,opera,,,,,google music,,,
597,play music by Francis Healy,,,,,,,,,Francis Healy
598,play a track from the thirties,,,,,track,,thirties,,
599,Play music on Spotify .,,,,,,Spotify,,,
600,play newest  soundtrack from 2008,,,newest,,soundtrack,,2008,,
601,play Itunes songs by Gerard Way,,,,,,Itunes,,,Gerard Way
602,Play Cherry Pink by Trapp Mendoza on Iheart,,,,Cherry Pink,,Iheart,,,Trapp Mendoza
603,Play Rei Momo  newest  album,,,newest,,album,,,Rei Momo,
604,I want to hear a track by Ryohei Yamamoto on Vimeo,,,,,track,Vimeo,,,Ryohei Yamamoto
605,Start up my nostalgic playlist.,,nostalgic,,,,,,,
606,play some papoose from 2003 on youtube,,,,,,youtube,2003,,papoose
607,Use Deezer to play music by Kimberley Walsh,,,,,,Deezer,,,Kimberley Walsh
608,Play Punk Rock music,Punk Rock,,,,,,,,
609,Play something by Louis Nelson Delisle .,,,,,,,,,Louis Nelson Delisle
610,play 1962 music on Netflix,,,,,,Netflix,1962,,
611,Play a song by David Silveria from 2002 on Zvooq .,,,,,song,Zvooq,2002,,David Silveria
612,play the 2014  album from la lupe,,,,,album,,2014,,la lupe
613,Play Revival music.,Revival,,,,,,,,
614,I want to hear opera on Netflix,opera,,,,,Netflix,,,
615,play the song  Si No Te Hubiera Conocido by Haidar Salim,,,,Si No Te Hubiera Conocido,song,,,,Haidar Salim
616,Start up my Pachangueo Total playlist.,,Pachangueo Total,,,,,,,
617,Open the playlist from Sergei Chatschatrjan,,,,,,,,,Sergei Chatschatrjan
618,open Itunes and play Kenny Cox  most popular  concerto,,,most popular,,concerto,Itunes,,,Kenny Cox
619,play the Gary Chaw  album,,,,,album,,,,Gary Chaw
620,Play me some grunge music,grunge,,,,,,,,
621,Play Chris Goss on Netflix,,,,,,Netflix,,,Chris Goss
622,Play The Garden Of Allah from Wade Mainer,,,,The Garden Of Allah,,,,,Wade Mainer
623,Play Alles Heeft Ritme by Liu Tianhua .,,,,Alles Heeft Ritme,,,,,Liu Tianhua
624,Play the best  Vanessa Peters songs,,,best,,,,,,Vanessa Peters
625,Play That Stubborn Kinda Fellow by Michael Amott,,,,,,,,That Stubborn Kinda Fellow,Michael Amott
626,play a 1983  concerto by Ayaka on Itunes,,,,,concerto,Itunes,1983,,Ayaka
627,I want to hear Dido from 1966 on Youtube,,,,,,Youtube,1966,,Dido
628,Play Andy Williams Sings Rodgers And Hammerstein by elica todorova,,,,,,,,Andy Williams Sings Rodgers And Hammerstein,elica todorova
629,Play Tujiko Noriko 's Ten Years And Running .,,,,,,,,Ten Years And Running,Tujiko Noriko
630,Open google music and play Women of Jazz playlist,,Women of Jazz,,,,google music,,,
631,Play christian gangsta rap,christian gangsta rap,,,,,,,,
632,Play Donald Rubinstein on Pandora,,,,,,Pandora,,,Donald Rubinstein
633,Play Shinya Yamada music from 1962 on Groove Shark ,,,,,,Groove Shark,1962,,Shinya Yamada
634,play the greatest  Vimeo tunes by angelo amorevoli on soundtrack,,,greatest,,soundtrack,Vimeo,,,angelo amorevoli
635,Play some Google Music .,,,,,,Google Music,,,
636,Open Deezer and play top 40 hits,,,top,,,Deezer,,,
637,Play me a nineties  sound track,,,,,sound track,,nineties,,
638,play a symphony that is good from 2000,,,good,,symphony,,2000,,
639,Play some music on Pandora,,,,,,Pandora,,,
640,play music from the twenties,,,,,,,twenties,,
641,play the most popular  Miles Jones  track,,,most popular,,track,,,,Miles Jones
642,Play Miyavi 's music from seventies on Google Music .,,,,,,Google Music,seventies,,Miyavi
643,Play a twenties  soundtrack on Youtube,,,,,soundtrack,Youtube,twenties,,
644,Play slow rock music,slow rock,,,,,,,,
645,Play some techno on Lastfm,techno,,,,,Lastfm,,,
646,Will you play me the most popular  sound track from 2006,,,most popular,,sound track,,2006,,
647,Play the song  I Get Ideas as performed by Richard Kruspe,,,,I Get Ideas,song,,,,Richard Kruspe
648,Play new  track from the fifties,,,new,,track,,fifties,,
649,Can you play an ep from the year 1958 ?,,,,,ep,,1958,,
650,play scott la rock from Stella on Slacker,,,,,,Slacker,,Stella,scott la rock
651,Play Thelma Aoyama 's latest  concerto,,,latest,,concerto,,,,Thelma Aoyama
652,Make and play a new playlis with the theme songs released in 1968,,,new,,theme,,1968,,
653,Play the tune by Adam Yauch,,,,,tune,,,,Adam Yauch
654,Play some melody from the eighties on Spotify,,,,,melody,Spotify,eighties,,
655,Play music by mina caputo on Lastfm,,,,,,Lastfm,,,mina caputo
656,Play some fifties music by Origa .,,,,,,,fifties,,Origa
657,Play a popular  Gurdas Maan  track,,,popular,,track,,,,Gurdas Maan
658,play an album on Netflix by chris castle from 2011,,,,,album,Netflix,2011,,chris castle
659,Play the most popular music by Ronald Isley on Google Music,,,most popular,,,Google Music,,,Ronald Isley
660,Play the top-20 music by merz,,,top-20,,,,,,merz
661,play twenties music off of my Itunes,,,,,,Itunes,twenties,,
662,Play a Mike Osborne  song,,,,,song,,,,Mike Osborne
663,play Groove Shark,,,,,,Groove Shark,,,
664,Play me a Maia Hirasawa  soundtrack from 1951,,,,,soundtrack,,1951,,Maia Hirasawa
665,Play Elysium from Ryan Cayabyab,,,,,,,,Elysium,Ryan Cayabyab
666,play Matt Walker tunes,,,,,,,,,Matt Walker
667,play Solange 2016  album ,,,,,album,,2016,,
668,Play a soundtrack by Mike Hindert on Spotify .,,,,,soundtrack,Spotify,,,Mike Hindert
669,Play the top-5 sort of ballad music from 2012 .,,,top-5,,ballad,,2012,,
670,"I want to listen to Lastfm , play A Drop Of The Hard Stuff by Joi Chua .",,,,,,Lastfm,,A Drop Of The Hard Stuff,Joi Chua
671,play Pop 2017 Picks,,Pop 2017 Picks,,,,,,,
672,play Groove Shark,,,,,,Groove Shark,,,
673,I want hear some Junior Murvin off of Youtube,,,,,,Youtube,,,Junior Murvin
674,I want to hear a top-50  track from Takahito Eguchi on Google Music,,,top-50,,track,Google Music,,,Takahito Eguchi
675,Play 25 To Life by Paul Riley on Deezer .,,,,,,Deezer,,25 To Life,Paul Riley
676,Play me some seventies music with a good  melody,,,good,,melody,,seventies,,
677,play an Masaki Aiba  tune,,,,,tune,,,,Masaki Aiba
678,play Morning Song,,,,,,,,Morning Song,
679,I want to hear a fourties  ballad by Luciano,,,,,ballad,,fourties,,Luciano
680,play a good  1952  symphony,,,good,,symphony,,1952,,
681,play Hardcore music,Hardcore,,,,,,,,
682,Play a top twenty  symphony by Bumble Bee Slim,,,top twenty,,symphony,,,,Bumble Bee Slim
683,play Wait Until Tomorrow,,,,Wait Until Tomorrow,,,,,
684,play a music ballad from the sixties,,,,,ballad,,sixties,,
685,Play the top  1991  sound track,,,top,,sound track,,1991,,
686,Play the latest songs by Larry Gatlin on Iheart,,,latest,,,Iheart,,,Larry Gatlin
687,Play me a bluegrass  song,bluegrass,,,,song,,,,
688,Play a sixties  song by Classified,,,,,song,,sixties,,Classified
689,play Monie Love tunes on Google Music from 1984 from her song list,,,,,song,Google Music,1984,,Monie Love
690,Play pop,pop,,,,,,,,
691,Play a melody from Elmer Bernstein,,,,,melody,,,,Elmer Bernstein
692,I want to listen to my Spain Top 50 playlist on groove shark,,Spain Top 50,,,,groove shark,,,
693,Play top-ten  eighties  song,,,top-ten,,song,,eighties,,
694,Play Michael Angelo Batio,,,,,,,,,Michael Angelo Batio
695,Play a twenties  concerto from Roger Taylor on deezer,,,,,concerto,deezer,twenties,,Roger Taylor
696,play dj kentaro from the year 1994,,,,,,,1994,,dj kentaro
697,play a twenties  song,,,,,song,,twenties,,
698,Can you play me a track from the nineties ?,,,,,track,,nineties,,
699,Play a song off Get Up Offa That Thing by Doseone on Last Fm,,,,,song,Last Fm,,Get Up Offa That Thing,Doseone
700,Play a movement fromthe eighties by Nobuo Uematsu .,,,,,movement,,eighties,,Nobuo Uematsu
701,Play In Every Dream Home A Heartache by vincent paul abbott ,,,,In Every Dream Home A Heartache,,,,,vincent paul abbott
702,Play the newest released song from 1951,,,newest,,song,,1951,,
703,use Slacker to listen to seventies music,,,,,,Slacker,seventies,,
704,Play the best  song by Henry Rollins .,,,best,,song,,,,Henry Rollins
705,play my melodious playlist,,melodious,,,,,,,
706,Play top music from Charles L. Johnson on vimeo ,,,top,,,vimeo,,,Charles L. Johnson
707,Play the top-twenty from Tony Calder off Slacker .,,,top-twenty,,,Slacker,,,Tony Calder
708,play anything from the twenties,,,,,,,twenties,,
709,Play music from 2012 by Yossif Kobzon on last fm .,,,,,,last fm,2012,,Yossif Kobzon
710,Play the theme tune that Christian Fennesz wrote,,,,,theme tune,,,,Christian Fennesz
711,Open Youtube and play Nanana from Massimo Altomare,,,,Nanana,,Youtube,,,Massimo Altomare
712,Open Lastfm and play a voluntad del cielo from Wax,,,,,,Lastfm,,a voluntad del cielo,Wax
713,I want to hear a 1957  theme song,,,,,theme song,,1957,,
714,Play my Electro Sur playlist.,,Electro Sur,,,,,,,
715,play the last  track by Shavo Odadjian,,,last,,track,,,,Shavo Odadjian
716,Play Brotherhood by Ock Joo-hyun,,,,,,,,Brotherhood,Ock Joo-hyun
717,play latest  George Ducas music,,,latest,,,,,,George Ducas
718,play a tune from 1962,,,,,tune,,1962,,
719,play I Could Write A Book,,,,I Could Write A Book,,,,,
720,listen to acapella,acapella,,,,,,,,
721,Play music from 2005 by Justin Broadrick,,,,,,,2005,,Justin Broadrick
722,Play the best  1981  sound track from Ric Fierabracci,,,best,,sound track,,1981,,Ric Fierabracci
723,Play a ballad by Owen Pallett from the seventies on Slacker .,,,,,ballad,Slacker,seventies,,Owen Pallett
724,Play concerto from 1951,,,,,concerto,,1951,,
725,Play Yung Joc on slacker,,,,,,slacker,,,Yung Joc
726,I want to listen to Speed Metal Symphony,,,,,,,,Speed Metal Symphony,
727,play journey list,,journey,,,,,,,
728,Play a melody by Hagigat Rzayeva,,,,,melody,,,,Hagigat Rzayeva
729,Play fifties from Sirusho Harutyunyan,,,,,,,fifties,,Sirusho Harutyunyan
730,Play a fairouz  tune on Deezer,,,,,tune,Deezer,,,fairouz
731,play the top-twenty songs by The Kleptones on Spotify,,,top-twenty,,,Spotify,,,The Kleptones
732,Play the greatest music you can find by Ari Herstand on Zvooq,,,greatest,,,Zvooq,,,Ari Herstand
733,play 90s Love Songs on Youtube,,90s Love Songs,,,,Youtube,,,
734,Please play Got The Time,,,,Got The Time,,,,,
735,Play twenties from Ken Floyd,,,,,,,twenties,,Ken Floyd
736,Play the playlist Grime Shutdown,,Grime Shutdown,,,,,,,
737,Play Masashi Hamauzu 's newest  symphony on Itunes .,,,newest,,symphony,Itunes,,,Masashi Hamauzu
738,Play the playlist funtime activity ,,funtime activity,,,,,,,
739,Play some seventies songs from Luke Haines off of youtube,,,,,,youtube,seventies,,Luke Haines
