,text,playlist,entity_name,music_item,playlist_owner,artist
525,Add the 3rd world to my  focus now,focus now,the 3rd world,,my,
526,add eric moo to women of jazz,women of jazz,,,,eric moo
527,Add a track to Fusion Fest,Fusion Fest,,track,,
528,add this extended play to Women's Lit playlist,Women's Lit,extended play,,,
529,please add this album to the playlist titled Hip Hop 2017 New School,Hip Hop 2017 New School,,album,,
530,add a track in Nike Running Tempo Mix,Nike Running Tempo Mix,,track,,
531,put this song by rayvon on my  all out 80s playlist,all out 80s,,song,my,rayvon
532,Add album to my  grandes unplugged,grandes unplugged,,album,my,
533,Can you put a song by Rick Astley on my  hot 50 playlist,hot 50,,song,my,Rick Astley
534,put Ron Grainer on my  disco fever playlist,disco fever,,,my,Ron Grainer
535,Add afdlin shauki to La Mejor MÃºsica Dance 2017,La Mejor MÃºsica Dance 2017,,,,afdlin shauki
536,Add song to my  underground hits,underground hits,,song,my,
537,Add Roots of the Outsiders to Blues Roots,Blues Roots,Roots of the Outsiders,,,
538,put Bring Me Down onto my  tokyo rising playlist,tokyo rising,Bring Me Down,,my,
539,Add Kevin Ridel to instrumental madness,instrumental madness,,,,Kevin Ridel
540,On lea's  saturday night playlist add the name D Generation,saturday night,D Generation,,lea's,
541,Add artist  Leonard Cohen to my  indie brazuca,indie brazuca,,artist,my,Leonard Cohen
542,Add a norma jean  tune to the Soul Revived playlist.,Soul Revived,,tune,,norma jean
543,add this song to wedding classics playlist,wedding classics,,song,,
544,Add this song to my  roadrunner rec new releases list.,roadrunner rec new releases,,song,my,
545,Can you add something from Method Man to my  this is mozart playlist,this is mozart,,,my,Method Man
546,put Pause on my  DÃ­as de FrÃ­o playlist,DÃ­as de FrÃ­o,Pause,,my,
547,add the current artist to my  top 100 pop tracks on spotify playlist,top 100 pop tracks on spotify,,artist,my,
548,Add jack scott to my  fantasÃ­a playlist,fantasÃ­a,,,my,jack scott
549,please put Book of Love on my  NTC High Intensity Training Tracks playlist,NTC High Intensity Training Tracks,Book of Love,,my,
550,Add a billy strayhorn  song to my  the selektor playlist,the selektor,,song,my,billy strayhorn
551,add tune to my  relax & unwind playlist,relax & unwind,,tune,my,
552,Add Stephanie Biddle to my  Digster Reggae playlist,Digster Reggae,,,my,Stephanie Biddle
553,add song by ian mcdonald to an instrumental sunday ,an instrumental sunday,,song,,ian mcdonald
554,put this track on soul bpm  my playlist,soul bpm,,track,my,
555,Add another MC chris  track to my  Blues Roots playlist.,Blues Roots,,track,my,MC chris
556,add people take pictures of each other to Rhythm and Blues playlist,Rhythm and Blues,people take pictures of each other,,,
557,add the song  don't drink the water to my playlist,don't drink the water,,song,my,
558,add git to Domingo Indie,Domingo Indie,git,,,
559,Add kaya newest track to my  I Love My '00's R&B playlist,I Love My '00's R&B,,track,my,kaya
560,find lesley's  epic classical playlist and add this tune,epic classical,,tune,lesley's,
561,Please add the song by Sunil Santha to my  Pre-Party R&B Jams list,Pre-Party R&B Jams,,song,my,Sunil Santha
562,add this is AndrÃ©s Calamaro by Milk ,this is AndrÃ©s Calamaro,Milk,,,
563,Add Come on Feel the Lemonheads to my  salsa classics playlist.,salsa classics,Come on Feel the Lemonheads,,my,
564,this track should go into my playlist called This Is Beethoven,This Is Beethoven,,track,my,
565,Add live around the world to crossroad blues,crossroad blues,live around the world,,,
566,put a xiang xiang  track onto women of the blues,women of the blues,,track,,xiang xiang
567,Can you add a tune by natalie macmaster to my  viajes playlist,viajes,,tune,my,natalie macmaster
568,"add kansas city, missouri to Stress Relief",Stress Relief,,,,"kansas city, missouri"
569,add farruko presenta los menores to my  amor amor playlist,amor amor,farruko presenta los menores,,my,
570,Add Jarvis Cocker to my  Chillin' on a Dirt Road playlist,Chillin' on a Dirt Road,,,my,Jarvis Cocker
571,Add artist to ina's  2010s smash hits,2010s smash hits,,artist,ina's,
572,Add another song to the acoustic soul playlist,acoustic soul,,song,,
573,put donnie g don gorilla on my  classical romance playlist,classical romance,donnie g don gorilla,,my,
574,I'd like for you to put this artist to my  Evening Commute playlist.,Evening Commute,,artist,my,
575,Add don sebesky  song to The Refugee Playlist,The Refugee Playlist,,song,,don sebesky
576,Add tune to Reggae Infusions,Reggae Infusions,,tune,,
577,my  indietronic playlist needs until the end of time added,indietronic,until the end of time,,my,
578,add the current tune to my  Rock Gaming playlist,Rock Gaming,,tune,my,
579,add LISA to my playlist Street Dance,Street Dance,,,my,LISA
580,add album to mellow bars,mellow bars,,album,,
581,Add an album to my list clÃ¡sicos de fogata,clÃ¡sicos de fogata,,album,my,
582,The feel good indie rock playlist needs another song ,feel good indie rock,,song,,
583,Add Barry McGuire to my playlist called have a laugh .,have a laugh,,,my,Barry McGuire
584,add tune  Papa Bue to Ã©xitos espaÃ±a playlist,Ã©xitos espaÃ±a,,tune,,Papa Bue
585,add the track by apostolos nikolaidis to the This Is Luis Fonsi playlist,This Is Luis Fonsi,,track,,apostolos nikolaidis
586,Can you add don moye to my  Pop playlist?,Pop,,,my,don moye
587,please put this artist into my  Lo mejor de Radio 3 playlist,Lo mejor de Radio 3,,artist,my,
588,I want to put Land of the Dead into my  Big Daddy's Booze & Blues playlist.,Big Daddy's Booze & Blues,Land of the Dead,,my,
589,add zombieland to NoctÃ¡mbulo playlist,NoctÃ¡mbulo,zombieland,,,
590,Add Warm and Beautiful to the ironing playlist.,ironing,Warm and Beautiful,,,
591,Add this track to my  lo que suena new york playlist,lo que suena new york,,track,my,
592,put track on my  synth pop list,synth pop,,track,my,
593,add kasey chambers to my  political punks playlist,political punks,,,my,kasey chambers
594,Add a track to the El Mejor Pop en EspaÃ±ol playlist.,El Mejor Pop en EspaÃ±ol,,track,,
595,please put this track onto letha's  signed xoxo playlist,signed xoxo,,track,letha's,
596,Add this album to my  US Latin Top 50 palylist,US Latin Top 50,,album,my,
597,Add shake your rump to my  concentraciÃ³n indie rock playlist,concentraciÃ³n indie rock,shake your rump,,my,
598,add arthur lee to my  jazz vibes playlist,jazz vibes,,,my,arthur lee
599,Add Priscilla to my playlist Classical Dance Music Ballet & Beyond,Classical Dance Music Ballet & Beyond,,,my,Priscilla
600,add Ghost on the Dance Floor to my  Autumn Lounge playlist,Autumn Lounge,Ghost on the Dance Floor,,my,
601,Add jonny buckland to my playlist weekly buzz,weekly buzz,,,my,jonny buckland
602,Include stefanie in Pre-Party R&B Jams,Pre-Party R&B Jams,stefanie,,,
603,I want my  Reggae Infusions playlist to have Plaid Retina on it.,Reggae Infusions,,,my,Plaid Retina
604,Add artist to playlist Classic Punk,Classic Punk,,artist,,
605,Add this album to holly's  bandas sonoras playlist,bandas sonoras,,album,holly's,
606,The Hot House playlist needs another album,Hot House,,album,,
607,add song by emmy rossum to Hit Rewind,Hit Rewind,,song,,emmy rossum
608,Add this tune to the Spinnin' Records Top 100 list,Spinnin' Records Top 100,,tune,,
609,add this track to the playlist hits of the 70s,hits of the 70s,,track,,
610,add album to my  Deathcore playlist,Deathcore,,album,my,
611,Put Targeted in my  Clapton Chronicles The Best of Eric Clapton playlist.,Targeted,Clapton Chronicles The Best of Eric Clapton,,my,
612,add this song to my  Classical Dance Music Ballet & Beyond list,Classical Dance Music Ballet & Beyond,,song,my,
613,Add another song to daphne's  retrowave outrun playlist.,retrowave outrun,,song,daphne's,
614,Add When You Come Back to the jazz for loving couples playlist.,jazz for loving couples,When You Come Back,,,
615,Add a track to summer of love,summer of love,,track,,
616,put frank farian on my  Deep Dark Indie Folk playlist,Deep Dark Indie Folk,,,my,frank farian
617,add josefina pla to isabelle's  Guest List GamesRadar playlist,Guest List GamesRadar,,,isabelle's,josefina pla
618,add Iâm Only a Man to my  flow espaÃ±ol,flow espaÃ±ol,Iâm Only a Man,,my,
619,Add an album by Jenifer to my  travelling playlist,travelling,,album,my,Jenifer
620,add Heat of the Night to my  Novedades Viernes SudamÃ©rica playlist,Novedades Viernes SudamÃ©rica,Heat of the Night,,my,
621,add artist to my  Phunkadelic playlist,Phunkadelic,,artist,my,
622,Play Elizeth Cardoso to my  Nothing But A Party R&B playlist,Nothing But A Party R&B,,,my,Elizeth Cardoso
623,"put this song in my  funk playlist, please",funk,,song,my,
624,"add Aprite le finestre to my  This Is Earth, Wind & Fire playlist","This Is Earth, Wind & Fire",Aprite le finestre,,my,
625,Put the joy division the complete bbc recordings on 40 hits,40 hits,joy division the complete bbc recordings,,,
626,Please put maimi yajima 's song onto OperaciÃ³n Bikini .,OperaciÃ³n Bikini,,song,,maimi yajima
627,Can you add a eviatar banai  album to my  tgif playlist,tgif,,album,my,eviatar banai
628,add the ragged curtain onto the playlist called party through the decades,party through the decades,the ragged curtain,,,
629,Add Joey Fatone to my  Spotlight on Country 2016 playlist,Spotlight on Country 2016,,,my,Joey Fatone
630,Add the tune to bandas sonoras,bandas sonoras,,tune,,
631,Add First Issue to my  your favorite slaughterhouse playlist,your favorite slaughterhouse,First Issue,,my,
632,Add natasha to my  All Things Post playlist,All Things Post,natasha,,my,
633,Add another album to my  this is pavarotti playlist.,this is pavarotti,,album,my,
634,add erik santos in my playlist Metal Xplorer,Metal Xplorer,,,my,erik santos
635,add artist to my  Trance Life group,Trance Life,,artist,my,
636,Add the name as with gladness men of old to my  ultimate 90s playlist,ultimate 90s,as with gladness men of old,,my,
637,Add what child is this to Dark Dance Floors,Dark Dance Floors,what child is this,,,
638,Put jiro in my  clÃ¡sicos del hip hop espaÃ±ol playlist.,clÃ¡sicos del hip hop espaÃ±ol,,,my,jiro
639,add this tune to my  fresh finds hiptronix playlist,fresh finds hiptronix,,tune,my,
640,"add already over, pt 2 to Hip Hop 2017 New School",Hip Hop 2017 New School,"already over, pt 2",,,
641,add song by charlie hunter to Rumba y mÃ¡s,Rumba y mÃ¡s,,song,,charlie hunter
642,I need another artist in the romÃ¡ntica playlist.,romÃ¡ntica,,artist,,
643,add Jacob Hoggard to my  get going playlist,get going,,,my,Jacob Hoggard
644,Put Jazzy B on Lazy Chill Afternoon playlist,Lazy Chill Afternoon,,,,Jazzy B
645,The dubstep dangles dirty playlist needs Digital at Montreux in it,dubstep dangles dirty,Digital at Montreux,,,
646,Add a tune to clÃ¡sicos del hip hop espaÃ±ol,clÃ¡sicos del hip hop espaÃ±ol,,tune,,
647,add dark days in paradise to my  gym playlist,gym,dark days in paradise,,my,
648,Put this album on my  wine & dine playlist,wine & dine,,album,my,
649,add tune to NUSIC,NUSIC,,tune,,
650,add iemand als jij to my playlist named In The Name Of Blues,In The Name Of Blues,iemand als jij,,my,
651,add this album by richard hell to arlene's playlist named miami 2017 guest list,miami 2017 guest list,,album,arlene's,richard hell
652,add this track to my  Comedy New Releases,Comedy New Releases,,track,my,
653,Can 50 minute technicolor dream be added to meredith's  Cierra La Puerta playlist?,Cierra La Puerta,50 minute technicolor dream,,meredith's,
654,add this artist to my  Jazz playlist,Jazz,,artist,my,
655,Add New Wave Blues to my  Push Button Funk playlist,Push Button Funk,New Wave Blues,,my,
656,Put Mike McCready in the kitchen swagger playlist.,kitchen swagger,,,,Mike McCready
657,Add a song from Randy Rhoads to my  50 ClÃ¡sicos playlist,50 ClÃ¡sicos,,song,my,Randy Rhoads
658,add i pledge allegiance to the grind to my  SinfonÃ­a Hipster playlist,SinfonÃ­a Hipster,i pledge allegiance to the grind,,my,
659,Add Ultimatum to my  crash course playlist,crash course,Ultimatum,,my,
660,Add another track to my  Women of Latin Music playlist,Women of Latin Music,,track,my,
661,Add an andy hurley  album to my  transatlantic lullaby list,transatlantic lullaby,,album,my,andy hurley
662,add this artist to my playlist named funtime,funtime,,artist,my,
663,Add this song to my list called The Birth of Cool,The Birth of Cool,,song,my,
664,Add this Nozomi Tsuji  tune to my  Hot House playlist,Hot House,,tune,my,Nozomi Tsuji
665,add alexandra govere to my  anochecer urbano playlist,anochecer urbano,,,my,alexandra govere
666,Add a track to my  hands up playlist.,hands up,,track,my,
667,Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay,edna st vincent millay,Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side,,,
668,Add another album to my  keep calm playlist.,keep calm,,album,my,
669,Include Brandon Paris in The MetalSucks Playlist,The MetalSucks Playlist,,,,Brandon Paris
670,Add artist to showstopper being mary jane,showstopper being mary jane,,artist,,
671,add apathy to my  electro sur playlist,electro sur,,,my,apathy
672,Add ChÃ©r to the Still Got the Blues playlist,Still Got the Blues,ChÃ©r,,,
673,Add this track to my  Rock Hard playlist,Rock Hard,,track,my,
674,Can you put tire me onto my  new music friday latin playlist?,new music friday latin,tire me,,my,
675,Add a gackt camui  track to the White Noise playlist.,White Noise,,track,,gackt camui
676,I want to add un jour dans notre vie to my list running to rock 170 to 190 bpm,running to rock 170 to 190 bpm,un jour dans notre vie,,my,
677,Put Al Jarreau on the ConcentraciÃ³n playlist,ConcentraciÃ³n,,,,Al Jarreau
678,Add song to my  pure rock & roll,pure rock & roll,,song,my,
679,add track to Punk Essentials,Punk Essentials,,track,,
680,add the man who never lied to my current comedy top tracks,comedy top tracks,the man who never lied,,my,
681,Can you add some morton feldman piano and string quartet to my  global funk playlist,global funk,morton feldman piano and string quartet,,my,
682,"Add Perfect Sense, Part I to my  women of classical list",women of classical,"Perfect Sense, Part I",,my,
683,add song to marta's  endorphin rush playlist,endorphin rush,,song,marta's,
684,Add to my  Rumba y mÃ¡s playlist the song by haley scarnato,Rumba y mÃ¡s,,song,my,haley scarnato
685,Add louis nelson delisle to the pulse of americana,the pulse of americana,,,,louis nelson delisle
686,Add janie jones to my  Indie Pop,Indie Pop,janie jones,,my,
687,Play Rock This playlist with Badonviller Marsch,Rock This,Badonviller Marsch,,,
688,ad this track by Isobel Campbell to my  Folk for Kids list,Folk for Kids,,track,my,Isobel Campbell
689,Add this tune to my  post metal playlist,post metal,,tune,my,
690,Add garry shider  album to my  classical essentials,classical essentials,,album,my,garry shider
691,Add shi xin hui to my  piano chill playlist.,piano chill,,,my,shi xin hui
692,add Fabri Fibra to The Birth of Cool,The Birth of Cool,,,,Fabri Fibra
693,add Gary Lachman  track to jazz for loving couples playlist,jazz for loving couples,,track,,Gary Lachman
694,I want another artist on my  atmospheric black metal playlist,atmospheric black metal,,artist,my,
695,add this track to Punk Rock Workout,Punk Rock Workout,,track,,
696,Add beijing huanying ni to my  workday lounge playlist,workday lounge,beijing huanying ni,,my,
697,add dj clay to my  canciones del recuerdo,canciones del recuerdo,,,my,dj clay
698,I want to add Kiara to my  Digster Future Hits playlist,Digster Future Hits,,,my,Kiara
699,Add the tune by Cassie Ventura to my  genre bender playlist,genre bender,,tune,my,Cassie Ventura
700,Put hampartsoum limondjian in running to rock 170 to 190 bpm,running to rock 170 to 190 bpm,,,,hampartsoum limondjian
701,Put King of America onto the playlist with the title a sudden rainstorm,a sudden rainstorm,King of America,,,
702,add back porch spirituals to my  Hit Remix playlist,Hit Remix,back porch spirituals,,my,
703,"add Tinker, Tailor to my playlist titled this is trey songz",this is trey songz,"Tinker, Tailor",,my,
704,Put sleeping with ghosts into my  90s Indie playlist.,90s Indie,sleeping with ghosts,,my,
705,add this album to my  party with friends,party with friends,,album,my,
706,"Add crying, waiting, hoping to my  weekly buzz playlist.",weekly buzz,"crying, waiting, hoping",,my,
707,Add tune to my  hot 50,hot 50,,tune,my,
708,add jason webley to Classical Intimate Dinner playlist,Classical Intimate Dinner,,,,jason webley
709,Add track to my  Peaceful Piano,Peaceful Piano,,track,my,
710,Add the current tune to my  Evening Groove list,Evening Groove,,tune,my,
711,Add this John Tesh  tune to the friendesemana playlist,friendesemana,,tune,,John Tesh
712,Add an album to Women of Hip Hop,Women of Hip Hop,,album,,
713,Add The âChirpingâ Crickets to my  Mellowed Out Gaming playlist,Mellowed Out Gaming,The âChirpingâ Crickets,,my,
714,Put an album by Mohammad Reza Shadjarian in my  Chillin' on a Dirt Road playlist.,Chillin' on a Dirt Road,,album,my,Mohammad Reza Shadjarian
715,Add tunnel rats to my  Rhythm and Blues playlist,Rhythm and Blues,tunnel rats,,my,
716,Add song to top 100 country tracks on spotify ,top 100 country tracks on spotify,,song,,
717,Add a Mary Fahl  tune to the Pre-Party R&B Jams playlist.,Pre-Party R&B Jams,,tune,,Mary Fahl
718,please put this tune on the irish folk â jigs & reels playlist,irish folk â jigs & reels,,tune,,
719,put Sonntagskind onto the playlist called soulful disco,soulful disco,Sonntagskind,,,
720,"Add Nazad, nazad, Kalino mome to Escapada",Escapada,"Nazad, nazad, Kalino mome",,,
721,add my hands to travelling playlist,travelling,my hands,,,
722,add back on the dancefloor to my  bajo las estrellas playlist,bajo las estrellas,back on the dancefloor,,my,
723,Add Munawar Ali Khan to my  mujeres y hombres y fiesta,mujeres y hombres y fiesta,,,my,Munawar Ali Khan
724,add maggie mcgill to my  night vibes,night vibes,maggie mcgill,,my,
725,add the artist to my  emotron playlist,emotron,,artist,my,
726,Add suffer little children to this is racionais mc's playlist,this is racionais mc's,suffer little children,,,
727,Add Jermaine Fagan to spring music,spring music,,,,Jermaine Fagan
728,Include golden boy in Pop Dance,Pop Dance,golden boy,,,
729,put this dave abbruzzese  tune on Family Road Trip,Family Road Trip,,tune,,dave abbruzzese
730,Add knocked out loaded to the spring vibes playlist.,spring vibes,knocked out loaded,,,
731,Add even serpents shine to dorothea's  indie hipster playlist,indie hipster,even serpents shine,,dorothea's,
732,add madlib invazion to my  prog rock monsters list,prog rock monsters,madlib invazion,,my,
733,Add Bone Crusher to the chill out playlist,chill out,,,,Bone Crusher
734,Add this artist to my  Post-grunge playlist,Post-grunge,,artist,my,
735,Add Geschwisterliebe to my  string theory playlist.,string theory,Geschwisterliebe,,my,
736,Add iene miene mutte to Women of R&B playlist,Women of R&B,iene miene mutte,,,
737,"Add this track by Del tha Funkee Homosapien to the playlist songs for you, not your parents","songs for you, not your parents",,track,,Del tha Funkee Homosapien
738,I want this tune on my  Most Necessary playlist,Most Necessary,,tune,my,
739,Incorporate Ayumi Hamasaki Arena Tour 2009 A Next Level into my  MÃºsica Libre playlist.,MÃºsica Libre,Ayumi Hamasaki Arena Tour 2009 A Next Level,,my,
740,Add d roc the executioner to my  This Is ZezÃ© Di Camargo & Luciano playlist.,This Is ZezÃ© Di Camargo & Luciano,,,my,d roc the executioner
741,Add Nothing Can Stop Us to my  Lazy Chill Afternoon playlist.,Lazy Chill Afternoon,Nothing Can Stop Us,,my,
742,put frank farian on lydia's playlist called The Black Power Mixtape 1967 to 1975,The Black Power Mixtape 1967 to 1975,,,lydia's,frank farian
743,Can you put the album onto Cierra La Puerta ?,Cierra La Puerta,,album,,
744,Add Hanging On to my  just dance by aftercluv playlist.,just dance by aftercluv,Hanging On,,my,
745,Add tune to my  Para comer,Para comer,,tune,my,
746,Put journey to love onto Hip Hop 2017 New School .,Hip Hop 2017 New School,journey to love,,,
747,The trapaholics needs another artist added.,trapaholics,,artist,,
748,add Wing  track to All A Cappella,All A Cappella,,track,,Wing
749,add paul wickens to Lo mejor del Rock de EspaÃ±a,Lo mejor del Rock de EspaÃ±a,,,,paul wickens
750,put this album on my  dubstep dangles dirty playlist,dubstep dangles dirty,,album,my,
751,Put dschiwan gasparjan into the Cool Down playlist.,Cool Down,,,,dschiwan gasparjan
752,Add artist to my  working day,working day,,artist,my,
753,please add this artist to my  Zen Focus playlist,Zen Focus,,artist,my,
754,Add the track  BG Knocc Out to the rapcaviar playlist,rapcaviar,,track,,BG Knocc Out
755,Add the name x forza e x amore to the playlist Musica EspaÃ±ola 2017,Musica EspaÃ±ola 2017,x forza e x amore,,,
756,I want to move this album to the selektor playlist,the selektor,,album,,
757,add tolmatschowa schwestern to my  Street Dance playlist,Street Dance,,,my,tolmatschowa schwestern
758,Add the artist to my  Metal playlist.,Metal,,artist,my,
759,Add the frank beard  song to the Soft Pop Hits playlist,Soft Pop Hits,,song,,frank beard
760,add song to Trap Land,Trap Land,,song,,
761,I want do you want to build a snowman in my  Hip Hop 2017 New School playlist,Hip Hop 2017 New School,do you want to build a snowman,,my,
762,add this album to my  MediodÃ­a AcÃºstico playlist,MediodÃ­a AcÃºstico,,album,my,
763,add time flies 1994-2009 to the Jazzy Romance playlist,Jazzy Romance,time flies 1994-2009,,,
764,Please put David Van Tieghem onto my  throwback party playlist.,throwback party,,,my,David Van Tieghem
765,Add lisa dalbello to my  2015 CMA Awards Nominees list,2015 CMA Awards Nominees,,,my,lisa dalbello
766,I want you to add the currently playing This Generation into my playlist called funtime activity,funtime activity,This Generation,,my,
767,I want to add Hind Etin to my  La Mejor MÃºsica Dance 2017 playlist,La Mejor MÃºsica Dance 2017,Hind Etin,,my,
768,Add the artist  Gwenno Pipette to the sexy as folk playlist.,sexy as folk,,artist,,Gwenno Pipette
769,Add the song to the soundscapes for gaming playlist.,soundscapes for gaming,,song,,
770,Add night and day to my  Lazy Chill Afternoon playlist,Lazy Chill Afternoon,night and day,,my,
771,add this song to my  metal playlist,metal,,song,my,
772,put A L Lloyd on gaming anthems,gaming anthems,,,,A L Lloyd
773,Add fuzzy logic to latin dinner,latin dinner,fuzzy logic,,,
774,add the artist to my  southern gothic playlist,southern gothic,,artist,my,
775,put Unbound into found them first for me,found them first,Unbound,,,
776,The this is kevin johansen playlist needs The Lamb Lies Down on Broadway in it.,this is kevin johansen,The Lamb Lies Down on Broadway,,,
777,add Michael Hayvoronsky to Lo Que Suena Los Angeles,Lo Que Suena Los Angeles,,,,Michael Hayvoronsky
778,I want this album on my  Indie Alternativa playlist,Indie Alternativa,,album,my,
779,add tune to Morning Rhythm playlist,Morning Rhythm,,tune,,
780,please add george nooks to my  electronow playlist,electronow,,,my,george nooks
781,Put another artist in my  Opera 100 Spotify Picks playlist.,Opera 100 Spotify Picks,,artist,my,
782,put this song on my  NTC High Intensity Training Tracks playlist,NTC High Intensity Training Tracks,,song,my,
783,add tapper zukie to the all out 00s playlist,all out 00s,,,,tapper zukie
784,Add Tarja Turunen to my  Lo mejor de Radio 3 playlist,Lo mejor de Radio 3,,,my,Tarja Turunen
785,Add this track to the Evening Commute playlist,Evening Commute,,track,,
786,Add this artist to piano chill,piano chill,,artist,,
787,put Tony Rombola on my  novedades viernes sudamÃ©rica playlist,novedades viernes sudamÃ©rica,,,my,Tony Rombola
788,add Curious corn to Wild & Free Workout,Wild & Free Workout,Curious corn,,,
789,add the track to my playlist with the title showstopper being mary jane,showstopper being mary jane,,track,my,
790,add this song to clarice's  latino caliente playlist,latino caliente,,song,clarice's,
791,add the song to the Dub On The Beach playlist,Dub On The Beach,,song,,
792,Add name Me & the Rhythm to my  chill out music,chill out music,Me & the Rhythm,,my,
793,Add this artist to Metal Party,Metal Party,,artist,,
794,Add The Rebirth of Kirk Franklin to the Fiesta playlist.,Fiesta,The Rebirth of Kirk Franklin,,,
795,add Jovanotti to punk espaÃ±ol,punk espaÃ±ol,,,,Jovanotti
796,add this tune by harry connick jr to my  jazz brasileiro playlist,jazz brasileiro,,tune,my,harry connick jr
797,add Diarios de Bicicleta to my  la la playlist,Diarios de Bicicleta,la la,,my,
798,Can you add psycho to Canciones que lo van a petar ?,Canciones que lo van a petar,psycho,,,
799,add Love Story wa Totsuzen ni to the martin garrix show playlist,the martin garrix show,Love Story wa Totsuzen ni,,,
800,Add this piece to my  spotify orchestra cello playlist: colors of the wind,spotify orchestra cello,colors of the wind,,my,
801,Add a randy travis  song to Deep Dark Indie Folk,Deep Dark Indie Folk,,song,,randy travis
802,add this track to my playlist it's ok to like jazz,it's ok to like jazz,,track,my,
803,Add this lbc crew  tune to my  Rock Argentino Vol I playlist,Rock Argentino Vol I,,tune,my,lbc crew
804,add sheila e to my  i love my neo soul playlist,i love my neo soul,,,my,sheila e
805,put artist  paulinho da costa on my  Very Nearly Nashville playlist,Very Nearly Nashville,,artist,my,paulinho da costa
806,add stephanie mcintosh to I Love My 90s Hip Hop  my playlist,I Love My 90s Hip Hop,,,my,stephanie mcintosh
807,Add Shelby Lynne to my playlist This Is Luis Fonsi,This Is Luis Fonsi,,,my,Shelby Lynne
808,Add 12 Odd Future Songs to the Club Hits playlist.,Club Hits,12 Odd Future Songs,,,
809,add lunacy to my  chill out playlist,chill out,lunacy,,my,
810,Please add a track from jeff mills to my  hiphop hot 50 playlist,hiphop hot 50,,track,my,jeff mills
811,Add this song onto my playlist entitled chill out .,chill out,,song,my,
812,Add Falcon to the Top Tracks in Metal playlist.,Top Tracks in Metal,Falcon,,,
813,Add the pop tarts to my  this is astor piazzolla playlist,this is astor piazzolla,the pop tarts,,my,
814,add this track to morning classical,morning classical,,track,,
815,Add Tony Kakko music to Street Dance playlist,Street Dance,,,,Tony Kakko
816,Add this tune to my  Rockabilly Mania,Rockabilly Mania,,tune,my,
817,Add Manuelita la tortuga to my  Nuestros 80 playlist,Nuestros 80,Manuelita la tortuga,,my,
818,add this album to rock en espaÃ±ol,rock en espaÃ±ol,,album,,
819,I'd like to add this whole album to the selektor ,the selektor,,album,,
820,Add Beverley Knight to my  mellow beats playlist,mellow beats,,,my,Beverley Knight
821,Add an espen lind  song to my list lo que suena new york,lo que suena new york,,song,my,espen lind
822,Add album to my  French N' Heavy list,French N' Heavy,,album,my,
823,Add Sveta ljubav to my  Metal Party playlist,Metal Party,Sveta ljubav,,my,
824,add this song to the Pre-Party playlist,Pre-Party,,song,,
825,add this track to Alternative Route,Alternative Route,,track,,
826,Add a track by BT to my  independent music monday playlist.,independent music monday,,track,my,BT
827,Add the tune from Leena Peisa to my  amor amor playlist.,amor amor,,tune,my,Leena Peisa
828,Add this tune to Morning Commute,Morning Commute,,tune,,
829,add song to my  Wild Country playlist,Wild Country,,song,my,
830,I want some fusil contra fusil added to my  dance hits playlist.,dance hits,fusil contra fusil,,my,
831,I want to add this tune by wheesung to my  queen list,queen,,tune,my,wheesung
832,Can you add a tune to my  Jazzy Romance playlist,Jazzy Romance,,tune,my,
833,add j r rotem to Classic Jazz Singers playlist,Classic Jazz Singers,,,,j r rotem
834,Add chen jiafeng to Ultimate 00s,Ultimate 00s,,,,chen jiafeng
835,Put an album by max richter into my  this is Rosana playlist.,this is Rosana,,album,my,max richter
836,I need to have pat alger 's album placed onto the spotlight spain 2016 playlist.,spotlight spain 2016,,album,,pat alger
837,Add no prejudice to 90s Indie,90s Indie,no prejudice,,,
838,Add an artist to the dÃ©cadas playlist.,dÃ©cadas,,artist,,
839,put dj green lantern on my  Targeted playlist,Targeted,,,my,dj green lantern
840,I want Tanya Stephens in my  35 Soul Classics 1970 to 1975 playlist.,35 Soul Classics 1970 to 1975,,,my,Tanya Stephens
841,Add this track to my  Dance Workout playlist,Dance Workout,,track,my,
842,add Butterfly House to nu metal,nu metal,Butterfly House,,,
843,Add My Belgian Rose to my  evening list,evening,My Belgian Rose,,my,
844,Add album to virales de siempre,virales de siempre,,album,,
845,Add this album to my  pop playlist,pop,,album,my,
846,Add thomas a dorsey to my  Big Band,Big Band,,,my,thomas a dorsey
847,add Teddy Boy to my  Irish Folk â Jigs & Reels playlist,Irish Folk â Jigs & Reels,Teddy Boy,,my,
848,add this track to my  party playlist,party,,track,my,
849,Add a guy is a guy to the infinite indie folk playlist.,infinite indie folk,a guy is a guy,,,
850,Add Nightmares That Surface from Shallow Sleep to michael's  Rock Solid playlist,Rock Solid,Nightmares That Surface from Shallow Sleep,,michael's,
851,I want another song in my  rock espaÃ±ol playlist.,rock espaÃ±ol,,song,my,
852,I want to add a song by jazz brasileiro,jazz brasileiro,,song,,
853,Add Ronski Speed to sweet soul chillout,sweet soul chillout,,,,Ronski Speed
854,Put another song in the Cloud Rap playlist.,Cloud Rap,,song,,
855,Put robbie robertson into my  chill out playlist.,chill out,,,my,robbie robertson
856,I want this artist on the Cena Elegante playlist,Cena Elegante,,artist,,
857,Add Jon McLaughlin to my  forever country playlist.,forever country,,,my,Jon McLaughlin
