,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
396,this  album is rated at a 0 out of a possible 6 .,,6,this,,,album,0
397,Give two  points to One Virgin Too Many,,,,One Virgin Too Many,points,,two
398,Can you give this  textbook a 2 out of 6 ?,,6,this,,,textbook,2
399,give 4 out of 6  stars to this  textbook,,6,this,,stars,textbook,4
400,I rate the book  Creature in the Teacher  3  stars,,,,Creature in the Teacher,stars,book,3
401,Rate the current  book a three,,,current,,,book,three
402,rate this book titled The Gray Prince  5  points,,,,The Gray Prince,points,book,5
403,Rate this  novel  4 out of 6 ,,6,this,,,novel,4
404,Give this  essay  four  stars / 6 .,,6,this,,stars,essay,four
405,I rate the book  Time and Stars  two  points,,,,Time and Stars,points,book,two
406,Rate my current  novel  3 out of 6,,6,current,,,novel,3
407,I want to give this  book  three out of 6  stars,,6,this,,stars,book,three
408,Rate The Bishop a 1,,,,The Bishop,,,1
409,Rate The Joy of Gay Sex a 5 out of 6,,6,,The Joy of Gay Sex,,,5
410,Rate this  textbook  zero  stars,,,this,,stars,textbook,zero
411,add this current  book  five  stars,,,current,,stars,book,five
412,I rate Monster Mythology  3  points .,,,,Monster Mythology,points,,3
413,The Coming Insurrection should get a rating of 1,,,,The Coming Insurrection,,,1
414,Give the book  Buzz about Bees a 2 star rating out of 6 .,,6,,Buzz about Bees,,book,2
415,I want to rate the current  textbook with 4,,,current,,,textbook,4
416,this  album is five  stars .,,,this,,stars,album,five
417,Rate Adventures in Stationery  saga  5  stars,saga,,,Adventures in Stationery,stars,,5
418,Freud: A Life for Our Time deserves a solid 4,,,,Freud: A Life for Our Time,,,4
419,Give this  textbook  3  stars .,,,this,,stars,textbook,3
420,rate this  novel  four  stars,,,this,,stars,novel,four
421,Rate this  album a 2,,,this,,,album,2
422,Rate my current  album  3  stars,,,current,,stars,album,3
423,I would give Basic Battle Skills a rating of four,,,,Basic Battle Skills,,,four
424,I would rate Tree of Smoke a value of two or a best rating of 6,,6,,Tree of Smoke,,,two
425,Rate the current  novel  1 of 6,,6,current,,,novel,1
426,out of 6 give The Morganville Vampires a 1,,6,,The Morganville Vampires,,,1
427,give 0 out of 6  stars to Reality of Certainty,,6,,Reality of Certainty,stars,,0
428,Diana in Search of Herself is average and gets a 3 out of 6  points,,6,,Diana in Search of Herself,points,,3
429,Rate this  saga  two with a bet rating of 6,saga,6,this,,,,two
430,I am giving this current  novel  4 out of 6  stars,,6,current,,stars,novel,4
431,I want to give the current  textbook  2 out of 6,,6,current,,,textbook,2
432,Rate In the Eyes of Mr. Fury  zero of 6,,6,,In the Eyes of Mr. Fury,,,zero
433,Rate the current  novel  5 of 6,,6,current,,,novel,5
434,Give Signals of Belief in Early England  four of 6,,6,,Signals of Belief in Early England,,,four
435,Rate Dictionary of the English Language a 4,,,,Dictionary of the English Language,,,4
436,Give the current  essay  3,,,current,,,essay,3
437,Rate this  textbook a 1,,,this,,,textbook,1
438,give 5 out of 6  stars to Creatures of Light and Darkness,,6,,Creatures of Light and Darkness,stars,,5
439,Rate The Loneliness of the Long Distance Runner  0  points / 6,,6,,The Loneliness of the Long Distance Runner,points,,0
440,Rate this  essay  two out of 6  stars,,6,this,,stars,essay,two
441,this  saga is definitely worth 4  stars .,saga,,this,,stars,,4
442,Rate Blood and Gold  saga  0  points,saga,,,Blood and Gold,points,,0
443,Give The Body Artist a 5 .,,,,The Body Artist,,,5
444,Rate this  book  four  stars out of 6,,6,this,,stars,book,four
445,Rate Seeing with the Eyes of Love  5  points,,,,Seeing with the Eyes of Love,points,,5
446,I'd rate the chronicle called The Art of Loving  3  points out of 6,chronicle,6,,The Art of Loving,points,,3
447,Rate Hocus Bogus a 4 .,,,,Hocus Bogus,,,4
448,Rate The First Death  1  stars,,,,The First Death,stars,,1
449,Rate the current  novel  3  points .,,,current,,points,novel,3
450,Rate Cold Light  5 out of 6  points .,,6,,Cold Light,points,,5
451,rate the book  The Outlaws of Sherwood  two  stars,,,,The Outlaws of Sherwood,stars,book,two
452,Rate The Demolished Man a five ,,,,The Demolished Man,,,five
453,give 3 out of 6  stars to this  essay,,6,this,,stars,essay,3
454,I giv the current  novel a four,,,current,,,novel,four
455,I would give zero  stars to A Concise Treatise on the Art of Angling out of 6 .,,6,,A Concise Treatise on the Art of Angling,stars,,zero
456,Rate my current  book  3 out of 6,,6,current,,,book,3
457,give zero out of 6  points to The False Peace,,6,,The False Peace,points,,zero
458,4  stars out of 6 is the rating for Fires of Azeroth,,6,,Fires of Azeroth,stars,,4
459,Rate this  novel  0 of 6  stars,,6,this,,stars,novel,0
460,Give A Mile Beyond the Moon  five  points,,,,A Mile Beyond the Moon,points,,five
461,rate The Confidence-Man  3  points,,,,The Confidence-Man,points,,3
462,rate Animals of the Bible  one of 6  points,,6,,Animals of the Bible,points,,one
463,Rate the current  book  1 of 6  points,,6,current,,points,book,1
464,I give 1  stars out of 6 to this current  series .,series,6,current,,stars,,1
465,the stars total 6 but Journey Under the Midnight Sun gets a four,,6,,Journey Under the Midnight Sun,stars,,four
466,I rated The Island of Adventure  saga a 2 of 6,saga,6,,The Island of Adventure,,,2
467,Rate The Art of Nijinsky  5  points,,,,The Art of Nijinsky,points,,5
468,rate the current  essay  four of 6 ,,6,current,,,essay,four
469,"I'd give With Lee in Virginia, A Story of the American Civil War  chronicle  4 of 6",chronicle,6,,"With Lee in Virginia, A Story of the American Civil War",,,4
470,Rate this  album  five out of 6  stars .,,6,this,,stars,album,five
471,rate The Brothers Karamazov a four,,,,The Brothers Karamazov,,,four
472,rate Atop an Underwood: Early Stories and Other Writings  0 out of 6  stars,,6,,Atop an Underwood: Early Stories and Other Writings,stars,,0
473,give three  stars to current  essay,,,current,,stars,essay,three
474,Give this  novel  5  stars,,,this,,stars,novel,5
475,Rate the current  album a five out of 6,,6,current,,,album,five
476,Rate A Taste of Blackberries a three,,,,A Taste of Blackberries,,,three
477,I give zero  points to this  chronicle,chronicle,,this,,points,,zero
478,I would rate this  chronicle a value of 1 and a best rating of 6,chronicle,6,this,,,,1
479,rate Mandela: The Authorised Biography a one,,,,Mandela: The Authorised Biography,,,one
480,I'd like to give a rating of 4 to this current  book .,,,current,,,book,4
481,I give the previous  saga  4 out of 6,saga,6,previous,,,,4
482,Rate The Autobiography of Alice B. Toklas  1 out of 6  stars,,6,,The Autobiography of Alice B. Toklas,stars,,1
483,i give The Aquariums of Pyongyang  3 out of 6  stars,,6,,The Aquariums of Pyongyang,stars,,3
484,rate The Odd Angry Shot  five  points,,,,The Odd Angry Shot,points,,five
485,Give A Kentucky Cardinal  four  points,,,,A Kentucky Cardinal,points,,four
486,four  points for this  essay,,,this,,points,essay,four
487,I would rate Eater of Wasps a value of zero and a best rating of 6,,6,,Eater of Wasps,,,zero
488,give 0 out of 6  points to The Paper Men,,6,,The Paper Men,points,,0
489,Rate the current  essay  zero  points,,,current,,points,essay,zero
490,rate this  series  one of 6,series,6,this,,,,one
491,give this  textbook  zero out of 6  points,,6,this,,points,textbook,zero
492,Rate my current  essay a 2,,,current,,,essay,2
493,Please give 1  points to Waiting for the Mahatma .,,,,Waiting for the Mahatma,points,,1
494,I give The Cat and the King  2  stars .,,,,The Cat and the King,stars,,2
495,"The Naked and the Dead was pretty good, I'd give it four  stars .",,,,The Naked and the Dead,stars,,four
496,"I would rate this  book  chronicle , 3 out of 5  stars .",chronicle,,this,,stars,book,5
497,The book  History of Shit should be rated 2 out of 6 .,,6,,History of Shit,,book,2
498,Rate The White Body of Evening  one of 6,,6,,The White Body of Evening,,,one
499,I want to give Select Conversations with an Uncle  5  stars,,,,Select Conversations with an Uncle,stars,,5
500,Rate the current  essay  4 out of 6,,6,current,,,essay,4
501,National Lampoon Tenth Anniversary Anthology 1970–1980 is a 4 out of 6 read,,6,,National Lampoon Tenth Anniversary Anthology 1970–1980,,,4
502,Rate The Night Land  three out of 6,,6,,The Night Land,,,three
503,rate the current  novel  one out of 6,,6,current,,,novel,one
504,this album is the last and rated five,,,last,,,album,five
505,rate the book  The Orchard Book of First Greek Myths a 0,,,,The Orchard Book of First Greek Myths,,book,0
506,Gie this  textbook  3  stars,,,this,,stars,textbook,3
507,Rate the current  novel  two  stars,,,current,,stars,novel,two
508,I give The Lady Decides a rating value of 4 and a best rating of 6,,6,,The Lady Decides,,,4
509,I'd say Life in the Iron Mills was a five,,,,Life in the Iron Mills,,,five
510,rate this  saga  4 out of 6  stars,saga,6,this,,stars,,4
511,The current  essay only deserves one out of 6  points,,6,current,,points,essay,one
512,give the current  textbook  1 out of 6  stars,,6,current,,stars,textbook,1
513,rate Beaver Towers  five out of 6  stars,,6,,Beaver Towers,stars,,five
514,rate the last  series  one of 6  stars,series,6,last,,stars,,one
515,I feel that zero out of 6  points would be the rating of Queen of the Dawn .,,6,,Queen of the Dawn,points,,zero
516,I would rate the chronicle  The Monks of Thelema a 2,chronicle,,,The Monks of Thelema,,,2
517,"I liked Ports of Call , I'd give it a 5 out of 6 .",,6,,Ports of Call,,,5
518,give The Council of Dads  1 out of 6  stars,,6,,The Council of Dads,stars,,1
519,rate The Citadel  1 out of 6  points,,6,,The Citadel,points,,1
520,Give 4  stars to the current  essay,,,current,,stars,essay,4
521,Rate the current  textbook  1 of 6  stars,,6,current,,stars,textbook,1
522,I want to rate the saga  The Italian  two to 6  points .,saga,6,,The Italian,points,,two
523,rate The Pig Scrolls  one of 6  points,,6,,The Pig Scrolls,points,,one
524,the next  book is worth two,,,next,,,book,two
525,rate Cousin Bette  5  points,,,,Cousin Bette,points,,5
526,Give four / 6  points to Empire of Death,,6,,Empire of Death,points,,four
527,Rate Recovery Road a three,,,,Recovery Road,,,three
528,Give the current  series  two  stars .,series,,current,,stars,,two
529,The Comics We Loved gets 1 out of 6  points,,6,,The Comics We Loved,points,,1
530,I would give this current  chronicle a value of 4 and a best rating of 6,chronicle,6,current,,,,4
531,The Mad Scientist Hall of Fame gets only a two out of 6,,6,,The Mad Scientist Hall of Fame,,,two
532,Rate the current  essay  zero  stars,,,current,,stars,essay,zero
533,Rate To Live and Die in L.A. a four out of 6 .,,6,,To Live and Die in L.A.,,,four
534,give 3 out of 6  points to current  novel,,6,current,,points,novel,3
535,Rate this current  novel  1 out of 6  points .,,6,this current,,points,novel,1
536,4  stars for Three to Get Deadly,,,,Three to Get Deadly,stars,,4
537,Give this  album a five out of 6,,6,this,,,album,five
538,Not Yet: A Memoir of Living and Almost Dying was one out of 6  stars,,6,,Not Yet: A Memoir of Living and Almost Dying,stars,,one
539,I give Out of Sync  zero out of 6  points .,,6,,Out of Sync,points,,zero
540,The book  History by Contract is rated five  stars in my opinion.,,,,History by Contract,stars,book,five
541,Rate What Is Called Thinking ? 0  stars,,,,What Is Called Thinking,stars,,0
542,rate this  book  saga  3 out of 6  stars,saga,6,this,,stars,book,3
543,this  textbook gets a two,,,this,,,textbook,two
544,Give the current  textbook  5 / 6  points,,6,current,,points,textbook,5
545,Give this  series  3  stars,series,,this,,stars,,3
546,rate the current  book  3 out of 6  stars,,6,current,,stars,book,3
547,give Heartland  chronicle  four  points,chronicle,,,Heartland,points,,four
548,Rate The Masks of Time  zero of 6  stars,,6,,The Masks of Time,stars,,zero
549,give 0 out of 6  points to current  textbook,,6,current,,points,textbook,0
550,find five  points called The Origins of Virtue,,,,The Origins of Virtue,points,,five
551,Rate my current  book  one  stars,,,current,,stars,book,one
552,Rate this  book  four  points,,,this,,points,book,four
553,I would give this  book a value of 2 and a best rating of 6,,6,this,,,book,2
554,Rate Lord of the World a value of 4,,,,Lord of the World,,,4
555,I rate this  essay  5 of 6  points,,6,this,,points,essay,5
556,Rate this  novel  three out of 6  stars,,6,this,,stars,novel,three
557,i give the following  textbook  three  points,,,following,,points,textbook,three
558,give two out of 6  stars to current  book,,6,current,,stars,book,two
559,Rate this  essay  two  stars,,,this,,stars,essay,two
560,I rate Vivian Grey  three .,,,,Vivian Grey,,,three
561,give three  stars to chronicle  Falling in Love With Hominids,chronicle,,,Falling in Love With Hominids,stars,,three
562,Rate The Principle of Hope  1 out of 6  stars,,6,,The Principle of Hope,stars,,1
563,I want to give this current  textbook  4  points .,,,current,,points,textbook,4
564,I am giving this current  novel  1 out of 6  stars,,6,current,,stars,novel,1
565,Rate the current  textbook  4 out of 6  points,,6,current,,points,textbook,4
566,Give The Neon Bible  three  stars / 6,,6,,The Neon Bible,stars,,three
567,I give the current  chronicle  one of 6  stars,chronicle,6,current,,stars,,one
568,I rate this  essay a two of 6  points,,6,this,,points,essay,two
569,I would rate The Spoiler  0  stars,,,,The Spoiler,stars,,0
570,I give the next  essay  4 out of 6  points .,,6,next,,points,essay,4
571,Rate this current  novel  5  points,,,current,,points,novel,5
572,Rate The Change  0 out of 6  points,,6,,The Change,points,,0
573,Give the current  book a one out of 6 .,,6,current,,,book,one
574,This current  book deserves 1  points,,,current,,points,book,1
575,Rate this  textbook a three,,,this,,,textbook,three
576,Rate Voyages by Starlight a value of 0,,,,Voyages by Starlight,,,0
577,rate the book  Now and Forever  1 out of 6  points,,6,,Now and Forever,points,book,1
578,Rate this  book  3 out of 6  points,,6,this,,points,book,3
579,I feel like this  essay deserves four  stars,,,this,,stars,essay,four
580,Rate Contesting the Future of Nuclear Power a four,,,,Contesting the Future of Nuclear Power,,,four
581,this  essay deserves 0  stars .,,,this,,stars,essay,0
582,I would give Sentenced to Prism a rating of zero and a best rating of 6,,6,,Sentenced to Prism,,,zero
583,rate this  book a zero,,,this,,,book,zero
584,Give Waiting for the Mahatma  5 out of 6  points .,,6,,Waiting for the Mahatma,points,,5
585,For the book  Deception I rate it four  points,,,,Deception,points,book,four
586,I rate The Mathematical Magpie  chronicle a 0 of 6,chronicle,6,,The Mathematical Magpie,,,0
587,Give Grand Conspiracy  zero out of 6  points .,,6,,Grand Conspiracy,points,,zero
588,I'd like to rate this  textbook  4 out of 6,,6,this,,,textbook,4
589,rate this  novel a three,,,this,,,novel,three
590,give 1  stars to book  Mr Ponsonby,,,,Mr Ponsonby,stars,book,1
591,rate the current  textbook  3 out of 6,,6,current,,,textbook,3
592,I am giving the book titled The Masters of Solitude a rating of two out of 6,,6,,The Masters of Solitude,,book,two
593,I would rate this  chronicle  zero and a best rating of 6,chronicle,6,this,,,,zero
594,rate this  album  one out of 6,,6,this,,,album,one
595,I think this  essay is only good for one  stars,,,this,,stars,essay,one
596,The Amityville: The Evil Escapes  chronicle is only a 1 out of 6 .,chronicle,6,,Amityville: The Evil Escapes,,,1
597,Rate the current  novel a 3 ,,,current,,,novel,3
598,Rate the Casualties of Peace  series  one of 6,series,6,,Casualties of Peace,,,one
599,the following  essay is worth four out 6,,6,following,,,essay,four
600,give two  stars to current  chronicle,chronicle,,current,,stars,,two
601,The Latham Diaries deserves a rating value of 0 and a best rating of 6,,6,,The Latham Diaries,,,0
602,give four out of 6  points to current  album,,6,current,,points,album,four
603,Rate this  novel  1  points .,,,this,,points,novel,1
604,Rate this  novel at 2,,,this,,,novel,2
605,rate this  essay  three of 6  stars,,6,this,,stars,essay,three
606,Give The Lost Princess  3  stars .,,,,The Lost Princess,stars,,3
607,Rate Shadow of Night a 1 ,,,,Shadow of Night,,,1
608,rate the book  Line to Tomorrow  three  stars,,,,Line to Tomorrow,stars,book,three
609,rate Eleanor Rigby a 3 ,,,,Eleanor Rigby,,,3
610,I rate Doom 3: Worlds on Fire a 1 of 6,,6,,Doom 3: Worlds on Fire,,,1
611,the next  novel is 4  stars,,,next,,stars,novel,4
612,Give Twas the Night Before Christmas  0  points out of 6 .,,6,,Twas the Night Before Christmas,points,,0
613,rate this  textbook  4 out of 6  stars,,6,this,,stars,textbook,4
614,I'd rate the current  chronicle  2  points,chronicle,,current,,points,,2
615,Please rate this  book and album  4 to 6  stars .,,6,this,,stars,album,4
616,Make this  essay  two out 6  stars,,6,this,,stars,essay,two
617,give zero out of 6  points to Marxism and the Oppression of Women,,6,,Marxism and the Oppression of Women,points,,zero
618,I would give Dead Man Falling  5  points and a best rating of 6,,6,,Dead Man Falling,points,,5
619,give two  points out of 6 to this  novel,,6,this,,points,novel,two
620,give 4 out of 6  stars to this  textbook,,6,this,,stars,textbook,4
621,Rate Maps for Lost Lovers  1 of 6,,6,,Maps for Lost Lovers,,,1
622,give 1 out of 6  points to this  novel,,6,this,,points,novel,1
623,Give this  essay  one star out of 6,,6,this,,,essay,one
624,Rate this  album  4  points,,,this,,points,album,4
625,rate this  book  four of 6  points,,6,this,,points,book,four
626,The Rats of Hamelin deserves zero  points,,,,The Rats of Hamelin,points,,zero
627,rate this  album  1,,,this,,,album,1
628,For this  book I rate four  points,,,this,,points,book,four
629,I give Jonathan Livingston le goéland  2 of 6  points,,6,,Jonathan Livingston le goéland,points,,2
630,rate The Overton Window  series a two out of 6,series,6,,The Overton Window,,,two
631,Rate the current  textbook with 2  points out of 6 .,,6,current,,points,textbook,2
632,Rate The Natural a 4,,,,The Natural,,,4
633,Rate this  album  zero  stars,,,this,,stars,album,zero
634,rate the current  essay  5  points,,,current,,points,essay,5
635,"Of a total possible of 6 , I think the current  book is a five .",,6,current,,,book,five
636,Rate my current  book  four  points out of 6,,6,current,,points,book,four
637,Rate The Desert Column  3 out of 6 ,,6,,The Desert Column,,,3
638,rate this  essay  two  points out of 6,,6,this,,points,essay,two
639,Rate the previous  essay  5 out of 6,,6,previous,,,essay,5
640,Give this  saga a 5 out of 6 rating.,saga,6,this,,,,5
641,Rate this awful book called Cold with 0 out of 6  points,,6,,Cold,points,book,0
642,rate this  chronicle  3  stars,chronicle,,this,,stars,,3
643,For Mirrorshades I rate it three  stars,,,,Mirrorshades,stars,,three
644,I would rate this current  series I'm reading a two out of 6,series,6,current,,,,two
645,rate this  textbook  2 out of 6,,6,this,,,textbook,2
646,rate this  novel  0 of 6  stars,,6,this,,stars,novel,0
647,I am giving the current  novel a four out of 6 rating.,,6,current,,,novel,four
648,Rate Tropic of Capricorn  two  stars,,,,Tropic of Capricorn,stars,,two
649,Give The Lost World  2  points,,,,The Lost World,points,,2
650,give four out of 6 star to this  novel,,6,this,,,novel,four
651,3 out of 6 for the last  album,,6,last,,,album,3
652,rate this  book  4 out of 6,,6,this,,,book,4
653,this current  book is worth five,,,current,,,book,five
654,rate this current  album  five out of 6  points,,6,current,,points,album,five
655,Warriors of Legend gets a 3 out of 6,,6,,Warriors of Legend,,,3
656,rate the current  album  two  points,,,current,,points,album,two
657,Rate the current  textbook  3 of 6,,6,current,,,textbook,3
658,Rate Homicide: A Year on the Killing Streets  five  stars,,,,Homicide: A Year on the Killing Streets,stars,,five
659,Rate this  book  zero out of 6,,6,this,,,book,zero
660,rate the chronicle  following a 4,chronicle,,following,,,,4
661,I want to give The Nightmare Fair  five  stars and a rating of 6,,6,,The Nightmare Fair,stars,,five
662,Rate the My Beloved World  saga a one ,saga,,,My Beloved World,,,one
663,Big Breasts and Wide Hips is terrible and 1 out of 6,,6,,Big Breasts and Wide Hips,,,1
664,give one out of 6 star to A Girl Is a Half-formed Thing  chronicle,chronicle,6,,A Girl Is a Half-formed Thing,,,one
665,Rate Wielding a Red Sword  0  stars,,,,Wielding a Red Sword,stars,,0
666,Rate this  essay a 3,,,this,,,essay,3
667,rate Secrets and Lies  2 of 6  stars,,6,,Secrets and Lies,stars,,2
668,I'd give The Day of Reckoning  four  points,,,,The Day of Reckoning,points,,four
669,I feel that Sons and Lovers deserves a rating of 2 .,,,,Sons and Lovers,,,2
670,Rate this  album only three  points ,,,this,,points,album,three
671,give two out of 6  points to current  textbook,,6,current,,points,textbook,two
672,Rate my current  textbook  1 out of 6  points,,6,current,,points,textbook,1
673,rate Getting It Wrong from the Beginning a value of 4,,,,Getting It Wrong from the Beginning,,,4
674,I give the previous  series  four  stars .,series,,previous,,stars,,four
675,give five star to The Second Angel  series ,series,,,The Second Angel,,,five
676,give this  novel  3 of 6 ,,6,this,,,novel,3
677,Rate the current  essay  3 out of 6  points,,6,current,,points,essay,3
678,Give this  novel  two out of 6  stars,,6,this,,stars,novel,two
679,give this  textbook a five,,,this,,,textbook,five
680,Remember the City nets five out of 6 .,,6,,Remember the City,,,five
681,rate the current  chronicle a zero,chronicle,,current,,,,zero
682,Give The Phantom Ship a zero .,,,,The Phantom Ship,,,zero
683,Rate this  chronicle  0,chronicle,,this,,,,0
684,Give this  chronicle a 4 out of 6,chronicle,6,this,,,,4
685,Rate the saga  Rides a Dread Legion  zero out of 6  points .,saga,6,,Rides a Dread Legion,points,,zero
686,give three out of 6  points in current  essay,,6,current,,points,essay,three
687,Rate Encyclopaedia of the Social Sciences  zero out of 6,,6,,Encyclopaedia of the Social Sciences,,,zero
688,Rate the White Lies  chronicle  0  stars,chronicle,,,White Lies,stars,,0
689,give four star to current  novel,,,current,,,novel,four
690,I would give Bones of the Earth  2  points,,,,Bones of the Earth,points,,2
691,I am giving this current  essay  zero out of 6  stars,,6,current,,stars,essay,zero
692,For the current  essay I give a total of 1  stars,,,current,,stars,essay,1
693,Rate the current  textbook a 0 out of 6 .,,6,current,,,textbook,0
694,I want to give The Coming of the Terraphiles a rating of 1 .,,,,The Coming of the Terraphiles,,,1
695,Rate my current  book  1 out of 6,,6,current,,,book,1
696,I am giving the book  After Henry a rating of 0 out of 6  stars,,6,,After Henry,stars,book,0
697,Rate this  album  one value,,,this,,,album,one
698,rate With Kitchener in the Soudan  2  stars out of 6,,6,,With Kitchener in the Soudan,stars,,2
699,The current  essay gets four  points,,,current,,points,essay,four
700,Rate this  textbook  2  points .,,,this,,points,textbook,2
701,Rate current  book  two  points,,,current,,points,book,two
702,I would give the All That: Fresh out the Box  saga a rating of 2  points,saga,,,All That: Fresh out the Box,points,,2
703,Rate 3 out of 6  points to Darkworld Detective,,6,,Darkworld Detective,points,,3
704,Rate this  novel  5 out of 6  stars,,6,this,,stars,novel,5
705,I'd give The Mystery of the 99 Steps  three  stars out of 6,,6,,The Mystery of the 99 Steps,stars,,three
706,I give 4 of 6  stars for the saga  A Severe Mercy,saga,6,,A Severe Mercy,stars,,4
707,Rate this  album  three out of 6 ,,6,this,,,album,three
708,I want to give the current  textbook  0 out of 6  stars,,6,current,,stars,textbook,0
709,Rate this  album  2  stars,,,this,,stars,album,2
710,give 5 out of 6  points to Myths of the Hindus & Buddhists,,6,,Myths of the Hindus & Buddhists,points,,5
711,the previous  book is five out of 6  stars,,6,previous,,stars,book,five
712,give four  points to this  novel,,,this,,points,novel,four
713,Rate current  novel  two  stars,,,current,,stars,novel,two
714,Rate the current  essay  four out of 6 .,,6,current,,,essay,four
715,Rate The Coming of Bill  3 of 6  stars,,6,,The Coming of Bill,stars,,3
716,Rate this  essay  4 out of 6  stars ,,6,this,,stars,essay,4
717,The current  series deserves three  stars .,series,,current,,stars,,three
718,Give The Turning Point a 0 out of 6 .,,6,,The Turning Point,,,0
719,rate the book  Indiana Jones and the Dance of the Giants  5 out of 6  stars,,6,,Indiana Jones and the Dance of the Giants,stars,book,5
720,rate The Descendants  two  points,,,,The Descendants,points,,two
721,give Rathinirvedam a rating of 3 out of 6,,6,,Rathinirvedam,,,3
722,Rate Equal Affections  one  points,,,,Equal Affections,points,,one
723,Rate this  book  one  stars,,,this,,stars,book,one
724,rate Cock and Bull  5 of 6  points,,6,,Cock and Bull,points,,5
725,I think this  novel gets 1  stars,,,this,,stars,novel,1
726,Rate The Making of a Teacher a two,,,,The Making of a Teacher,,,two
727,Rate this  textbook  1  stars,,,this,,stars,textbook,1
728,I wish to give this  textbook a zero out of 6  points,,6,this,,points,textbook,zero
729,rate this  book  2  stars,,,this,,stars,book,2
730,rate the last  book  0  stars,,,last,,stars,book,0
731,I give the Flash  series  0 out of 6 .,series,6,,Flash,,,0
732,I think that this  book deserves a 3,,,this,,,book,3
733,Give the current  chronicle  2  stars .,chronicle,,current,,stars,,2
734,rate the current  saga  one  stars,saga,,current,,stars,,one
735,Rate the current  album  3  points,,,current,,points,album,3
736,Rate Peter and the Sword of Mercy  3 of 6  stars,,6,,Peter and the Sword of Mercy,stars,,3
737,rate The Lost Hero  chronicle  four out of 6,chronicle,6,,The Lost Hero,,,four
738,Out of 6  stars I give the chronicle  three and look forward to what's next .,chronicle,6,next,,stars,,three
739,Give Souls in Metal  four out of 6  points,,6,,Souls in Metal,points,,four
740,For the book  Tale of the Toa I give five  points ,,,,Tale of the Toa,points,book,five
741,I give The Prestige a rating of 5,,,,The Prestige,,,5
742,I give the Budayeen Nights  saga  five out of 6  points .,saga,6,,Budayeen Nights,points,,five
743,rate The Key Word and Other Mysteries  4 of 6,,6,,The Key Word and Other Mysteries,,,4
744,Rate this  textbook  4  stars .,,,this,,stars,textbook,4
745,Give the current  novel a 3 out of 6 rating,,6,current,,,novel,3
746,Rate the Deception  chronicle  one of 6  points,chronicle,6,,Deception,points,,one
747,3  stars is the rating for Boy Meets Boy,,,,Boy Meets Boy,stars,,3
748,Rate The Summer Job  5  stars,,,,The Summer Job,stars,,5
749,I give the following  saga a 5 .,saga,,following,,,,5
750,Rate my current  novel  one out of 6  points,,6,current,,points,novel,one
751,Rate this  book  0  points out of 6,,6,this,,points,book,0
752,Rate this  series  one out of 6 .,series,6,this,,,,one
753,this  album deserves to be rated one out of 6 !,,6,this,,,album,one
754,Rate From a Buick 8  0 out of 6,,6,,From a Buick 8,,,0
755,Give the current  essay a rating of zero out of 6  stars .,,6,current,,stars,essay,zero
756,give 2 for this  essay,,,this,,,essay,2
757,give Mistborn: The Well of Ascension  four out of 6,,6,,Mistborn: The Well of Ascension,,,four
758,Rate A Faint Cold Fear  0  points,,,,A Faint Cold Fear,points,,0
759,Rate this  novel a 3,,,this,,,novel,3
760,rate the current  album  2 out of 6,,6,current,,,album,2
761,Give a 4 star rating to Fear and Loathing on the Campaign Trail ’72,,,,Fear and Loathing on the Campaign Trail ’72,,,4
762,Rate current  textbook  5 out of 6,,6,current,,,textbook,5
763,Rat Short Trips: A Christmas Treasury a 3,,,,Short Trips: A Christmas Treasury,,,3
764,I'd give The Hundred Thousand Kingdoms a three of 6,,6,,The Hundred Thousand Kingdoms,,,three
765,this  chronicle is a zero out of 6 .,chronicle,6,this,,,,zero
766,Rate CIA World Factbook  five out of 6  stars,,6,,CIA World Factbook,stars,,five
767,rate the Poems for Midnight  saga  4  points,saga,,,Poems for Midnight,points,,4
768,give four out of 6  stars for this  chronicle,chronicle,6,this,,stars,,four
769,the next  essay gets 2 out of 6  stars,,6,next,,stars,essay,2
770,The current  album gets three out of 6  points,,6,current,,points,album,three
771,I would rate this  essay a one and a best rating of 6,,6,this,,,essay,one
772,rate this  book  four out of 6  points,,6,this,,points,book,four
773,rate the previous  novel a 1 out of 6,,6,previous,,,novel,1
774,For this current  textbook I give 4  stars,,,current,,stars,textbook,4
775,rate this  saga  1  points,saga,,this,,points,,1
776,Rate The Black Mask  1 of 6  stars,,6,,The Black Mask,stars,,1
777,rate The Princess Mouse: A Tale of Finland  one of 6,,6,,The Princess Mouse: A Tale of Finland,,,one
778,The current  series only deserves two out of 6 .,series,6,current,,,,two
779,the horrible current  essay gets only a 0 out of 6,,6,current,,,essay,0
780,They Knew Mr. Knight should get out of 6 a rating of two,,6,,They Knew Mr. Knight,,,two
781,Rate this  textbook only three  points,,,this,,points,textbook,three
782,Rate Phoenix: The Fall & Rise of Videogames  one  points out of 6,,6,,Phoenix: The Fall & Rise of Videogames,points,,one
783,I would give this current  chronicle  three  points,chronicle,,current,,points,,three
784,I'd give the Main-Travelled Roads  series  0  points out of 6,series,6,,Main-Travelled Roads,points,,0
785,I rate the current  saga  0  points and a best rating of 6,saga,6,current,,points,,0
786,Rate The A-Z Guide to Arranged Marriage  0 of 6,,6,,The A-Z Guide to Arranged Marriage,,,0
787,Give the current  album  1 star,,,current,,,album,1
